Cycling PVL,PVL Differentiated s3,PVL Immature s1,PVL Immature s2
NCAPG2,,EFHD1,
NDUFA11,,EGFL6,
ACADVL,,PDLIM7,
CC2D2A,,TDO2,
RRAS,,MPRIP,
RBX1,,CARMN,
FANCD2,,RBMS3,
TRPC6,,,
NDN,,,
KANK2,,,
RHEB,,,
UFD1L,,,
TIMP3,,,
MDH1,,,
OLFML1,,,
TNFAIP6,,,
CHN1,,,
MDK,,,
RFC4,,,
TEAD4,,,
TUSC3,,,
AP2S1,,,
CDK4,,,
EMILIN1,,,
HNRNPD,,,
MAGOHB,,,
AXL,,,
FAM64A,,,
EVA1B,,,
PARVA,,,
GPR176,,,
RCAN2,,,
ADGRF5,,,
SEMA5A,,,
CDC6,,,
ATP5B,,,
TBX2,,,
TEX41,,,
EIF4EBP1,,,
CDK1,,,
C5orf24,,,
AVPR1A,,,
IKBIP,,,
AK1,,,
NDUFA6,,,
PDE1A,,,
GPX8,,,
ANTXR1,,,
