HSPB6,ID3,NID1,THBS1,SERPINH1
JUN,FOSB,ITGB1,COL16A1,TMEM176B
SVEP1,RUNX1T1,COL15A1,PDGFRL,COL8A1
ID3,ANGPTL4,GGT5,ACTA2,PRSS23
LAMA2,COL15A1,SPATS2L,CHPF,ANTXR1
ELN,TIMP3,F2R,IGFBP5,SERPINE2
GGT5,APOE,WBP5,PODN,FBLN5
PDGFRA,SELM,C11orf96,MRC2,F2R
MDK,PLTP,SELM,PMP22,GPNMB
SMOC2,CLEC11A,IFI27,GSN,RCN3
SERPINE2,NID1,GSN,LGALS3BP,LHFP
EFEMP2,FBLN5,LOXL2,C3,ADAM12
TFPI,COL4A2,CST3,11-Sep,TCF4
THY1,TFPI,CALU,SERPINE1,PRELP
IGFBP7,PLAGL1,FBLN1,IGFBP6,GGT5
RARRES1,FMO1,EMILIN1,THBS4,SSPN
SLIT3,COL18A1,PMP22,FKBP10,MRC2
CYBRD1,WBP5,CD99,CNN3,CRISPLD2
TNFAIP6,TAC1,MFGE8,PTRF,TMEM119
COL5A2,RGMA,FAP,SELM,ITGBL1
F2R,PLAC9,MYL9,CYP1B1,IFITM3
FIGF,SOD2,CRISPLD2,ID3,DIO2
CST3,SPRY1,LY6E,F2R,TNFAIP6
TSPAN4,FXYD6,CYP1B1,OSTC,CD248
LAMB1,PLEKHH2,SDC2,EFEMP1,OGN
CD248,MMP14,TAGLN,PPIB,OLFML2B
CTSF,MMP11,TMEM98,DPYSL3,SMOC2
LGALS1,VIM,TGFB1I1,EMILIN1,EMILIN1
LGALS3,KCNQ1OT1,CNN3,ITGB1,PDGFRB
SGCE,PDGFRL,TPM1,PLXDC2,SELM
SELM,CDH11,RGS16,IGFBP3,CPE
IFITM3,MXRA5,FIGF,GEM,MMP3
MFAP2,FRZB,RUNX1T1,IFITM3,SULF1
TMEM98,TIMP2,FBLN2,PDLIM7,CERCAM
SPARC,HTRA1,VKORC1,DIO2,CPXM1
CLEC11A,ADAM12,FBN1,CD248,THBS4
CPXM1,TUBA1A,HTRA1,TMEM119,THBS1
VIM,NR2F1,SERPINE1,TPM4,LOXL1
FHL1,SSPN,TGFBI,SSPN,PDGFRA
CCL2,LAMA4,PRKCDBP,IFI27,EGR1
RUNX1T1,KLF4,NDUFA4L2,CXCL12,COL16A1
RSPO3,ABI3BP,CYR61,WISP2,SERPINE1
POSTN,MFGE8,BMP1,PDGFRB,TMEM98
LTBP4,TMEM98,COX7A1,GJB2,PLXDC2
SPRY1,C11orf96,MRC2,LOX,GLT8D2
FBN1,COL4A1,INHBA,SPHK1,TSPAN4
AKAP12,LGALS3,VIM,OLFML2B,ITGB5
PLAGL1,SOCS3,PDGFRA,C1QTNF3,TMEM176A
SCPEP1,ZFP36L1,OSTC,CRISPLD2,KCNQ1OT1
MXRA5,SERPINE2,COL10A1,TMEM176B,LAMA2
ABI3BP,PCDH18,KCNQ1OT1,SERPINE2,GAS6
PLXDC1,PTN,TMEM176A,MFGE8,CYBRD1
PPIC,UACA,ECM1,ANXA5,FKBP10
TCF7L2,HSPA1B,LAMB1,ACTN1,COL11A1
MFAP5,TPM2,COL5A3,RAB31,FRZB
NBL1,ARC,ANTXR1,ITGB5,FXYD1
KCNQ1OT1,SOX4,NOTCH3,GGT5,PLPP3
CDH11,FKBP10,SPARCL1,PTK7,LTBP2
SFRP1,CPXM1,MFAP4,TNFRSF12A,11-Sep
PDGFRB,MFAP2,PPIB,CFH,INHBA
KLF4,HTRA3,CCDC102B,MARCKS,ANGPTL2
BOC,RCN3,GRP,FLNA,ALDH1A1
FGFR1,GPM6B,INAFM1,COL18A1,RARRES1
NID1,EGR2,ID3,FNDC1,GPC3
LEPR,EMILIN1,IFIT3,ADAMTS2,SVEP1
FAP,PALLD,GUCY1A3,WBP5,NR2F1
GLT8D2,ABCA6,NGFRAP1,PRKCDBP,NID1
FMO2,GPC3,11-Sep,GLT8D2,PPIB
RCN3,FILIP1L,CHN1,LTBP2,CNN3
PDK4,PPIC,PLPP3,LRRC15,DPYSL3
HTRA3,CCL8,EDNRA,SDC2,LOX
RGMA,VCAM1,CRTAP,TCF4,TNXB
NGFRAP1,SGCE,TPM4,CXCL9,RUNX1T1
FRZB,EID1,COL11A1,LAMP5,WBP5
RNASE4,CD81,PCDH18,FBLN5,PTRF
MRC2,GBP1,SGCE,GPX8,RBMS3
EID1,SH3PXD2B,EGR1,PRELP,LTBP4
ASPN,NGFRAP1,ISG15,ARF4,NGFRAP1
ADM,SERPINH1,HSPA6,MATN3,NUPR1
EMP1,GLT8D2,MARCKS,NID1,NREP
NFIC,EFEMP1,GBP1,KDELR3,ECM1
CRTAP,RBP5,PDGFRL,TMEM98,SOD3
RBMS3,CRTAP,FILIP1L,DKK3,AKAP12
FAM46A,MRC2,GLT8D2,WNT2,FMO1
MT1M,MAFF,PHACTR2,PDPN,ABI3BP
ANGPTL4,FAP,NBL1,RRBP1,TAGLN
FOSB,BICC1,FRZB,TGFB1I1,SVIL
CLU,COL5A1,SPHK1,FAM114A1,CALU
OSR1,TGFBI,ANXA5,SRPX,RGS16
COLEC12,ARID5B,RND3,ITGA11,CHPF
NFIA,ITGB1,EID1,PLAC9,IGFBP5
EMILIN1,SPARCL1,RHOC,CPE,CD81
COL12A1,CNN3,ANGPTL2,ECM1,SPARCL1
EPHX1,ADAMTS12,PTRF,HCFC1R1,LIMA1
GADD45B,FGFR1,NR2F2,LAMA4,MAFB
MT2A,ZBTB20,HES1,MMP3,LRRC17
S100A13,RP11-14N7.2,PXDN,GAS1,ANXA5
PLXDC2,ADD3,CPQ,PDLIM2,S100A13
MIR99AHG,PTGES,CYGB,SULF2,C7
FMO1,COLEC12,TGFB3,TMEM176A,ADD3
COL15A1,VGLL4,ADGRA2,LAMB1,MMP23B
SOD2,LAMA2,WNT2,LRRC17,SGCE
MMP14,MEIS2,FKBP7,TNC,CTSF
GAS6,WSB1,PLEKHH2,PLOD2,GPX8
ADD3,RBMS3,FXYD6,RCN1,LAMA4
CEBPD,LDB2,SEPP1,FIBIN,BOC
NR4A1,FBN1,TFPI,NGFRAP1,PRKCDBP
ANGPTL2,SERTAD1,FMO1,SPON1,ZFHX4
LIMA1,IFI27,TMEM204,GPNMB,S100A6
SERPINE1,MMP19,CPXM1,PXDN,LGALS3
ZFHX4,LTBP4,PDPN,ANXA2,PLTP
DLK1,S100A13,NR2F1,FILIP1L,FGFR1
FCGRT,ECM1,SOX4,S100A6,PAM
PLEKHH2,CST3,ADAMTS2,HSPG2,ABCA6
ABCA10,MIR99AHG,A2M,PDGFRA,C10orf10
CD99,NFIA,RBP1,FGF7,COL18A1
DCLK1,GPNMB,EGFLAM,GAS6,MFGE8
BICC1,FAM20A,DKK3,SPOCK1,LAMB1
THBS1,MT1M,RAB34,CMTM3,OMD
ARID5B,SVIL,SPRY1,CYB5R3,CRTAP
IGFBP3,TMEM119,SRPX2,PPFIBP1,MYL9
ZBTB20,FAM46A,MFAP5,BMP1,MIR99AHG
MEIS2,EPHX1,PDLIM7,PLAT,IFI27
RGS16,ANGPTL2,COL16A1,PHPT1,SEPP1
FILIP1L,FCGRT,PRDX4,LIMA1,SLIT3
WBP5,C12orf57,LAMC1,FRZB,UACA
MMP19,KLK1,PLAGL1,UACA,HCFC1R1
MMP23B,GALNT16,MTRNR2L8,PAM,RAB31
MITF,NFIC,P4HB,LOXL2,MARCKS
PTRF,CDKN1C,ITGA1,APOD,OSTC
ZFP36L1,CEBPD,ADAMTS12,CPXM1,FIBIN
LAMA4,ASPN,RAB31,GRP,GAS1
FIBIN,PRKCDBP,COL14A1,CTSB,ABCA8
SPARCL1,COL14A1,FGF7,OGN,IFI6
MFGE8,GAS7,GPX8,MAP1B,ADAMTS2
VCAM1,MARCKS,ITM2C,KDELR2,COL15A1
SVIL,,PTN,CRTAP,PDPN
TGFBR3,,DLC1,LMCD1,PLXDC1
APOE,,SERPINE2,FAM127A,SPON1
GAS1,,IFI16,C1QTNF6,ITGB1
LEPROT,,SEMA5A,SMOC2,VIM
CPQ,,SSPN,SH3PXD2A,C11orf96
OMD,,EVA1B,RAMP1,EID1
CHRDL1,,OAF,EID1,RND3
NUPR1,,PLAC9,FKBP7,FILIP1L
AADACL2-AS1,,TUBA1A,ANGPTL2,LAMB2
ANK2,,FBLN5,SPATS2L,EMP1
CNN3,,TCF7L2,TMEM45A,FRMD6
PALLD,,SVIL,MMP23B,SLIT2
S100A6,,CD276,CKAP4,SCPEP1
RP11-14N7.2,,RRBP1,SEC31A,PDLIM7
SH3BP5,,EBF1,SVIL,RRBP1
TWIST2,,RCN1,MSRB3,PPFIBP1
CTSL,,OLFML2A,CST2,FKBP9
RHOBTB3,,LMO4,IFI6,KDELR3
PTN,,COL8A1,RP11-417E7.2,ITM2A
RAB34,,IFI27L2,ADAMTS12,CPQ
PDGFD,,KDELR3,PLPP4,LTBP3
VAT1,,MIR4435-2HG,CREB3L1,CYB5R3
SOCS3,,ARF4,VKORC1,ARF4
TMEM119,,LPL,NUPR1,FAM114A1
PCDH18,,FGFR1,SPARCL1,LXN
ITM2B,,MEIS2,PLS3,LY6E
METTL7A,,DDR2,PARVA,LRRC15
CILP,,HOPX,MYH9,ITM2B
PTGES,,SOD3,FRMD6,TCF7L2
CYB5R3,,PLOD2,CYBRD1,BICC1
MT1E,,PDLIM2,CLIC4,TPM2
OAF,,LEPROT,COL4A2,RAB34
TXNIP,,RGMA,VIM,DAB2
PSAP,,SCG5,FGFR1,PLS3
SLC40A1,,SNAI2,NEXN,CLMP
DAB2,,TNN,TSPAN4,SPHK1
SLIT2,,TWIST1,SRPX2,WNT2
PAM,,RP11-14N7.2,LXN,ECM2
TSC22D1,,PTMS,KCNQ1OT1,PTK7
WSB1,,STRA6,HDLBP,PDLIM2
CD81,,LINC00152,MMP13,VKORC1
FOXO3,,PKIG,AKAP12,MEIS2
TSHZ2,,PTK7,RAI14,PLEKHH2
STEAP1,,DLK1,PHLDB1,TPBG
EGFR,,CHPF,PRDX4,CCL2
ADGRA2,,AXL,CD276,PHLDB1
PHLDB1,,CCL2,COL15A1,INAFM1
BDH2,,ADD3,NTM,TGFB3
PRNP,,OLFM2,NID2,GAS7
ADAM12,,HCFC1R1,RGS16,PKIG
ABCA9,,VCAM1,PMEPA1,HMCN1
ANTXR1,,FXYD1,INAFM1,TPM4
FKBP10,,FAM127A,P4HA2,RP11-14N7.2
COL16A1,,ANGPTL4,EMP1,SPATS2L
PLBD1,,MMP16,LAMA2,TWIST2
DTWD1,,SGCB,RAB34,ADH1B
DPYSL3,,IGFBP5,PODNL1,PLAU
CLMP,,FAM114A1,PTTG1IP,CD276
FAM20A,,PLTP,HMCN1,HES1
CDKN2C,,PODN,RUNX1,PSAP
ANXA5,,,P3H1,CTSL
ADH5,,,P4HB,CEBPB
PLPP1,,,GALNT1,FKBP7
LAMC1,,,KIAA1217,NFIC
C12orf57,,,GREM1,VAT1
MAP1A,,,FKBP9,PCDH18
EBF1,,,DDR2,TMEM204
NPC2,,,C11orf96,GOLIM4
DLC1,,,SGCB,WWTR1
SH3PXD2B,,,TGFB3,AXL
SCARA5,,,MAGED1,PLAGL1
KLF9,,,SLC39A13,LEPROT
FXYD6,,,PDLIM4,OAF
PDPN,,,CPQ,RCN1
UACA,,,RABAC1,FHL1
PPFIBP1,,,ANKH,TMEM45A
ECM1,,,CD81,SDC2
ECM2,,,LAMB2,ZBTB20
TUBA1A,,,UNC5B,NDN
GULP1,,,ZFHX4,PARVA
OLFML1,,,ENC1,LAMP5
FN1,,,TUBB6,TPST1
LTBP3,,,ITGAV,C1QTNF6
,,,LMAN1,PLPP1
,,,GOLIM4,DDR2
,,,OMD,ITGA11
,,,FMOD,RPS27L
,,,TTC3,TGFB1I1
,,,BICC1,MAP1A
,,,CNN2,
,,,PLPP3,
,,,PTGDS,
,,,TPBG,
,,,SGCE,
,,,EDNRA,
,,,PRICKLE1,
,,,DAB2,
,,,OLFM2,
,,,MYDGF,
,,,F2RL2,
,,,NOX4,
,,,RP11-14N7.2,
,,,SMIM3,
,,,FERMT2,
,,,ITM2B,
,,,AP3S1,
,,,LAMC1,
,,,PDLIM3,
,,,COX7A1,
,,,LY6E,
,,,TMEM204,
,,,GLT8D1,
,,,YIF1A,
,,,COL8A2,
,,,PDLIM5,
,,,PTGFRN,
,,,PLOD1,
,,,GBP1,
,,,ADD3,
,,,TPST1,
,,,LTBP3,
,,,BNC2,
,,,PCDH7,
,,,ABI3BP,
,,,GXYLT2,
,,,CDKN2A,
,,,RHOBTB3,
,,,FAM198B,
,,,P3H3,
,,,RBMS3,
,,,VCL,
,,,SH3PXD2B,
,,,ILK,
,,,PTN,
,,,ENAH,
,,,GOLM1,
,,,CLMP,
,,,EGR1,
,,,PSAP,
,,,SLC44A1,
,,,TUBA1A,
,,,ZEB1,
,,,MYOF,
,,,WWTR1,
