p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,classification tier,avg_strength,cluster0,celltype
0,1.63171905,0.938,0.227,0,T cells c4 CD8 ZFP36,CCL5,subset,1.63171905,T_cells_c4_CD8+_ZFP36,T
0,1.597959865,0.531,0.042,0,T cells c4 CD8 ZFP36,ZNF683,subset,1.597959865,T_cells_c4_CD8+_ZFP36,T
0,1.528165172,0.835,0.27,0,T cells c4 CD8 ZFP36,CD69,subset,1.528165172,T_cells_c4_CD8+_ZFP36,T
0,1.460376196,0.57,0.188,0,T cells c4 CD8 ZFP36,CCL4,subset,1.460376196,T_cells_c4_CD8+_ZFP36,T
0,1.402488198,0.325,0.041,0,T cells c4 CD8 ZFP36,XCL2,subset,1.402488198,T_cells_c4_CD8+_ZFP36,T
0,1.377940034,0.313,0.059,0,T cells c4 CD8 ZFP36,GNLY,subset,1.377940034,T_cells_c4_CD8+_ZFP36,T
0,1.377455869,0.592,0.079,0,T cells c4 CD8 ZFP36,CD8A,subset,1.377455869,T_cells_c4_CD8+_ZFP36,T
0,1.369572673,0.367,0.032,0,T cells c4 CD8 ZFP36,RP11-291B21.2,subset,1.369572673,T_cells_c4_CD8+_ZFP36,T
0,1.360394005,0.754,0.353,0,T cells c4 CD8 ZFP36,RGCC,subset,1.360394005,T_cells_c4_CD8+_ZFP36,T
5.57e-297,2.294364053,0.958,0.092,1.66e-292,T cells c5 CD8 GZMK,GZMK,subset,2.294364053,T_cells_c5_CD8+_GZMK,T
1.2199999999999998e-213,1.85432772,0.94,0.173,3.63e-209,T cells c5 CD8 GZMK,CST7,subset,1.85432772,T_cells_c5_CD8+_GZMK,T
4.379999999999999e-183,1.69727092,0.831,0.102,1.2999999999999997e-178,T cells c5 CD8 GZMK,CD8A,subset,1.69727092,T_cells_c5_CD8+_GZMK,T
1.0999999999999999e-218,1.657934214,0.996,0.742,3.26e-214,T cells c5 CD8 GZMK,ZFP36L2,subset,1.657934214,T_cells_c5_CD8+_GZMK,T
2.7899999999999995e-182,1.524076989,0.993,0.261,8.289999999999999e-178,T cells c5 CD8 GZMK,CCL5,subset,1.524076989,T_cells_c5_CD8+_GZMK,T
8.17e-156,1.450879221,0.982,0.375,2.4299999999999997e-151,T cells c5 CD8 GZMK,DUSP2,subset,1.450879221,T_cells_c5_CD8+_GZMK,T
1.9999999999999998e-134,1.413905804,0.68,0.084,5.959999999999999e-130,T cells c5 CD8 GZMK,CD8B,subset,1.413905804,T_cells_c5_CD8+_GZMK,T
4.539999999999999e-143,1.3258779,0.835,0.151,1.3499999999999998e-138,T cells c5 CD8 GZMK,NKG7,subset,1.3258779,T_cells_c5_CD8+_GZMK,T
2.9599999999999998e-130,1.319045366,0.676,0.094,8.81e-126,T cells c5 CD8 GZMK,GZMM,subset,1.319045366,T_cells_c5_CD8+_GZMK,T
7.74e-137,1.278255602,0.792,0.134,2.2999999999999997e-132,T cells c5 CD8 GZMK,GZMA,subset,1.278255602,T_cells_c5_CD8+_GZMK,T
0,1.697784771,0.87,0.39,0,T cells c6 IFIT1,ISG15,subset,1.697784771,T_cells_c6_IFIT1,T
0,1.671261786,0.879,0.366,0,T cells c6 IFIT1,ISG20,subset,1.671261786,T_cells_c6_IFIT1,T
0,1.626365738,0.732,0.216,0,T cells c6 IFIT1,MX1,subset,1.626365738,T_cells_c6_IFIT1,T
0,1.439826828,0.872,0.523,0,T cells c6 IFIT1,IFITM1,subset,1.439826828,T_cells_c6_IFIT1,T
0,1.422722063,0.57,0.104,0,T cells c6 IFIT1,OASL,subset,1.422722063,T_cells_c6_IFIT1,T
0,1.4047127,0.494,0.113,0,T cells c6 IFIT1,IFIT3,subset,1.4047127,T_cells_c6_IFIT1,T
0,1.352028679,0.439,0.054,0,T cells c6 IFIT1,RSAD2,subset,1.352028679,T_cells_c6_IFIT1,T
1.7e-223,1.341623606,0.346,0.074,5.0399999999999995e-219,T cells c6 IFIT1,IFIT2,subset,1.341623606,T_cells_c6_IFIT1,T
2.6999999999999996e-249,1.321960871,0.729,0.258,8.03e-245,T cells c6 IFIT1,CCL5,subset,1.321960871,T_cells_c6_IFIT1,T
4.0299999999999997e-206,1.321259754,0.452,0.09,1.2e-201,T cells c6 IFIT1,GZMK,subset,1.321259754,T_cells_c6_IFIT1,T
0,2.42992724,0.868,0.185,0,T cells c7 CD8 IFNG,CCL4,subset,2.42992724,T_cells_c7_CD8+_IFNG,T
0,2.187951239,0.515,0.096,0,T cells c7 CD8 IFNG,CCL4L2,subset,2.187951239,T_cells_c7_CD8+_IFNG,T
0,2.064275401,0.645,0.076,0,T cells c7 CD8 IFNG,GZMK,subset,2.064275401,T_cells_c7_CD8+_IFNG,T
0,2.034182279,0.44,0.067,0,T cells c7 CD8 IFNG,IFNG,subset,2.034182279,T_cells_c7_CD8+_IFNG,T
0,1.851729984,0.941,0.241,0,T cells c7 CD8 IFNG,CCL5,subset,1.851729984,T_cells_c7_CD8+_IFNG,T
0,1.781278855,0.712,0.118,0,T cells c7 CD8 IFNG,GZMA,subset,1.781278855,T_cells_c7_CD8+_IFNG,T
0,1.747344845,0.789,0.132,0,T cells c7 CD8 IFNG,NKG7,subset,1.747344845,T_cells_c7_CD8+_IFNG,T
0,1.632308954,0.46,0.051,0,T cells c7 CD8 IFNG,GZMH,subset,1.632308954,T_cells_c7_CD8+_IFNG,T
0,1.57977749,0.678,0.158,0,T cells c7 CD8 IFNG,CST7,subset,1.57977749,T_cells_c7_CD8+_IFNG,T
0,1.522782144,0.573,0.089,0,T cells c7 CD8 IFNG,CD8A,subset,1.522782144,T_cells_c7_CD8+_IFNG,T
0,2.192344736,0.979,0.249,0,T cells c8 CD8 LAG3,CCL5,subset,2.192344736,T_cells_c8_CD8+_LAG3,T
0,2.162015942,0.871,0.089,0,T cells c8 CD8 LAG3,CD8A,subset,2.162015942,T_cells_c8_CD8+_LAG3,T
0,2.137269534,0.564,0.1,0,T cells c8 CD8 LAG3,CCL4L2,subset,2.137269534,T_cells_c8_CD8+_LAG3,T
0,2.049095968,0.738,0.073,0,T cells c8 CD8 LAG3,GZMB,subset,2.049095968,T_cells_c8_CD8+_LAG3,T
0,2.005729057,0.91,0.137,0,T cells c8 CD8 LAG3,NKG7,subset,2.005729057,T_cells_c8_CD8+_LAG3,T
0,1.953156919,0.92,0.193,0,T cells c8 CD8 LAG3,CCL4,subset,1.953156919,T_cells_c8_CD8+_LAG3,T
0,1.932161507,0.715,0.07,0,T cells c8 CD8 LAG3,CXCL13,subset,1.932161507,T_cells_c8_CD8+_LAG3,T
0,1.695250724,0.724,0.073,0,T cells c8 CD8 LAG3,CD8B,subset,1.695250724,T_cells_c8_CD8+_LAG3,T
0,1.676594167,0.764,0.124,0,T cells c8 CD8 LAG3,GZMA,subset,1.676594167,T_cells_c8_CD8+_LAG3,T
2.37e-239,1.645144424,0.18,0.02,7.059999999999998e-235,T cells c8 CD8 LAG3,TRBV7-9,subset,1.645144424,T_cells_c8_CD8+_LAG3,T
0,3.141152885,0.798,0.058,0,T cells c9 NK cells AREG,GNLY,subset,3.141152885,T_cells_c9_NK_cells_AREG,T
0,2.363397168,0.741,0.051,0,T cells c9 NK cells AREG,XCL1,subset,2.363397168,T_cells_c9_NK_cells_AREG,T
0,2.262409411,0.683,0.044,0,T cells c9 NK cells AREG,XCL2,subset,2.262409411,T_cells_c9_NK_cells_AREG,T
0,1.971476905,0.658,0.221,0,T cells c9 NK cells AREG,AREG,subset,1.971476905,T_cells_c9_NK_cells_AREG,T
0,1.932860209,0.71,0.061,0,T cells c9 NK cells AREG,KLRD1,subset,1.932860209,T_cells_c9_NK_cells_AREG,T
0,1.90400429,0.814,0.14,0,T cells c9 NK cells AREG,NKG7,subset,1.90400429,T_cells_c9_NK_cells_AREG,T
0,1.897239612,0.608,0.019,0,T cells c9 NK cells AREG,TRDC,subset,1.897239612,T_cells_c9_NK_cells_AREG,T
0,1.894467992,0.568,0.022,0,T cells c9 NK cells AREG,KLRC1,subset,1.894467992,T_cells_c9_NK_cells_AREG,T
0,1.782345368,0.507,0.078,0,T cells c9 NK cells AREG,GZMB,subset,1.782345368,T_cells_c9_NK_cells_AREG,T
0,1.737561918,0.751,0.108,0,T cells c9 NK cells AREG,CTSW,subset,1.737561918,T_cells_c9_NK_cells_AREG,T
0,2.943044748,0.84,0.063,0,T cells c10 NKT cells FCGR3A,GNLY,subset,2.943044748,T_cells_c10_NKT_cells_FCGR3A,T
0,2.773751952,0.972,0.143,0,T cells c10 NKT cells FCGR3A,NKG7,subset,2.773751952,T_cells_c10_NKT_cells_FCGR3A,T
0,2.377076081,0.8,0.078,0,T cells c10 NKT cells FCGR3A,GZMB,subset,2.377076081,T_cells_c10_NKT_cells_FCGR3A,T
0,2.275741593,0.559,0.004,0,T cells c10 NKT cells FCGR3A,FGFBP2,subset,2.275741593,T_cells_c10_NKT_cells_FCGR3A,T
0,2.190052629,0.686,0.065,0,T cells c10 NKT cells FCGR3A,PRF1,subset,2.190052629,T_cells_c10_NKT_cells_FCGR3A,T
0,2.044439528,0.727,0.066,0,T cells c10 NKT cells FCGR3A,KLRD1,subset,2.044439528,T_cells_c10_NKT_cells_FCGR3A,T
0,2.015453977,0.661,0.057,0,T cells c10 NKT cells FCGR3A,GZMH,subset,2.015453977,T_cells_c10_NKT_cells_FCGR3A,T
0,1.898665001,0.892,0.199,0,T cells c10 NKT cells FCGR3A,CCL4,subset,1.898665001,T_cells_c10_NKT_cells_FCGR3A,T
0,1.894967122,0.803,0.129,0,T cells c10 NKT cells FCGR3A,GZMA,subset,1.894967122,T_cells_c10_NKT_cells_FCGR3A,T
0,1.848384412,0.788,0.168,0,T cells c10 NKT cells FCGR3A,CST7,subset,1.848384412,T_cells_c10_NKT_cells_FCGR3A,T
0,2.033532451,0.8,0.361,0,T cells c11 MKI67,HIST1H4C,subset,2.033532451,T_cells_c11_MKI67,T
0,2.021563077,0.902,0.311,0,T cells c11 MKI67,STMN1,subset,2.021563077,T_cells_c11_MKI67,T
0,1.89534768,0.878,0.325,0,T cells c11 MKI67,HMGB2,subset,1.89534768,T_cells_c11_MKI67,T
0,1.732359247,0.711,0.063,0,T cells c11 MKI67,TYMS,subset,1.732359247,T_cells_c11_MKI67,T
0,1.643311346,0.679,0.04,0,T cells c11 MKI67,MKI67,subset,1.643311346,T_cells_c11_MKI67,T
1.41e-305,1.635803288,0.419,0.078,4.18e-301,T cells c11 MKI67,CXCL13,subset,1.635803288,T_cells_c11_MKI67,T
0,1.634643816,0.931,0.557,0,T cells c11 MKI67,TUBB,subset,1.634643816,T_cells_c11_MKI67,T
0,1.612378821,0.936,0.611,0,T cells c11 MKI67,HMGN2,subset,1.612378821,T_cells_c11_MKI67,T
0,1.586508545,0.944,0.648,0,T cells c11 MKI67,TUBA1B,subset,1.586508545,T_cells_c11_MKI67,T
0,1.565102741,0.605,0.033,0,T cells c11 MKI67,RRM2,subset,1.565102741,T_cells_c11_MKI67,T
