gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,avg_strength,cluster0,celltype
NUPR1,0,1.232917767,0.613,0.151,0,Macro_FOLR2-APOE+,1.232917767,Macro_FOLR2-APOE+,Mye
MTRNR2L8,0,1.232088396,0.699,0.398,0,Macro_FOLR2-APOE+,1.232088396,Macro_FOLR2-APOE+,Mye
RNASE1,0,1.206205809,0.668,0.208,0,Macro_FOLR2-APOE+,1.206205809,Macro_FOLR2-APOE+,Mye
GPNMB,0,0.956335521,0.802,0.258,0,Macro_FOLR2-APOE+,0.956335521,Macro_FOLR2-APOE+,Mye
PDK4,0,0.849671485,0.633,0.258,0,Macro_FOLR2-APOE+,0.849671485,Macro_FOLR2-APOE+,Mye
KCNMA1,0,0.84878049,0.593,0.206,0,Macro_FOLR2-APOE+,0.84878049,Macro_FOLR2-APOE+,Mye
LPL,0,0.83823958,0.308,0.032,0,Macro_FOLR2-APOE+,0.83823958,Macro_FOLR2-APOE+,Mye
SELENOP,3.9499999999999993e-218,3.317492146,0.46,0.088,7.27e-214,Macro_FOLR2+APOE-,3.317492146,Macro_FOLR2+APOE-,Mye
SLC40A1,6.259999999999999e-106,2.180391466,0.548,0.227,1.1499999999999998e-101,Macro_FOLR2+APOE-,2.180391466,Macro_FOLR2+APOE-,Mye
FOLR2,3.29e-98,1.500153516,0.476,0.177,6.07e-94,Macro_FOLR2+APOE-,1.500153516,Macro_FOLR2+APOE-,Mye
F13A1,1.24e-68,1.406187662,0.484,0.229,2.28e-64,Macro_FOLR2+APOE-,1.406187662,Macro_FOLR2+APOE-,Mye
PLTP,5.8e-71,1.376890952,0.586,0.326,1.0699999999999999e-66,Macro_FOLR2+APOE-,1.376890952,Macro_FOLR2+APOE-,Mye
RNASE1,8.08e-102,1.264429869,0.631,0.268,1.49e-97,Macro_FOLR2+APOE-,1.264429869,Macro_FOLR2+APOE-,Mye
C1QC,2.5999999999999996e-118,1.062039138,0.951,0.541,4.7899999999999996e-114,Macro_FOLR2+APOE-,1.062039138,Macro_FOLR2+APOE-,Mye
C1QA,1.28e-116,1.007198763,0.953,0.562,2.36e-112,Macro_FOLR2+APOE-,1.007198763,Macro_FOLR2+APOE-,Mye
C1QB,1.5899999999999998e-99,0.768041441,0.953,0.541,2.9199999999999996e-95,Macro_FOLR2+APOE-,0.768041441,Macro_FOLR2+APOE-,Mye
CTSZ,1.34e-8,0.169749013,0.397,0.655,2.47e-4,Macro_FOLR2+APOE-,0.169749013,Macro_FOLR2+APOE-,Mye
GPNMB,0,2.797657357,0.929,0.318,0,Macro_FOLR2+APOE+,2.797657357,Macro_FOLR2+APOE+,Mye
CCL18,0,2.775104039,0.346,0.045,0,Macro_FOLR2+APOE+,2.775104039,Macro_FOLR2+APOE+,Mye
SDS,2.32e-97,2.693731095,0.487,0.211,4.28e-93,Macro_FOLR2+APOE+,2.693731095,Macro_FOLR2+APOE+,Mye
PLAU,3.9399999999999997e-271,2.587667729,0.587,0.183,7.27e-267,Macro_FOLR2+APOE+,2.587667729,Macro_FOLR2+APOE+,Mye
CXCL9,0,2.456188923,0.714,0.142,0,Macro_FOLR2+APOE+,2.456188923,Macro_FOLR2+APOE+,Mye
NR1H3,0,2.439949298,0.743,0.133,0,Macro_FOLR2+APOE+,2.439949298,Macro_FOLR2+APOE+,Mye
LGMN,0,2.43445078,0.93,0.394,0,Macro_FOLR2+APOE+,2.43445078,Macro_FOLR2+APOE+,Mye
CCL4,8.53e-82,2.429218976,0.571,0.302,1.5700000000000001e-77,Macro_FOLR2+APOE+,2.429218976,Macro_FOLR2+APOE+,Mye
ACP5,0,2.394013419,0.876,0.386,0,Macro_FOLR2+APOE+,2.394013419,Macro_FOLR2+APOE+,Mye
C1QB,0,2.33502664,0.986,0.533,0,Macro_FOLR2+APOE+,2.33502664,Macro_FOLR2+APOE+,Mye
CCL4L2,0,1.561907873,0.558,0.177,0,Macro_IER3,1.561907873,Macro_IER3,Mye
RHOB,1.56e-263,1.2587154,0.827,0.528,2.8700000000000003e-259,Macro_IER3,1.2587154,Macro_IER3,Mye
CCL4,0,1.144260101,0.696,0.292,0,Macro_IER3,1.144260101,Macro_IER3,Mye
CCL3L1,0,1.079877379,0.495,0.147,0,Macro_IER3,1.079877379,Macro_IER3,Mye
TNF,8.669999999999999e-222,1.0152694310000001,0.419,0.161,1.5999999999999998e-217,Macro_IER3,1.0152694310000001,Macro_IER3,Mye
GADD45B,0,0.983104782,0.906,0.63,0,Macro_IER3,0.983104782,Macro_IER3,Mye
IER3,0,0.979968302,0.881,0.516,0,Macro_IER3,0.979968302,Macro_IER3,Mye
SGK1,0,0.979694786,0.902,0.591,0,Macro_IER3,0.979694786,Macro_IER3,Mye
C5AR1,3.58e-244,0.890785679,0.722,0.393,6.599999999999999e-240,Macro_IER3,0.890785679,Macro_IER3,Mye
NR4A2,0,0.868140254,0.851,0.432,0,Macro_IER3,0.868140254,Macro_IER3,Mye
APOC1,6.809999999999999e-286,1.237781702,0.797,0.493,1.2500000000000001e-281,Macro_IFI27,1.237781702,Macro_IFI27,Mye
APOE,4.2799999999999996e-287,1.061974117,0.841,0.491,7.89e-283,Macro_IFI27,1.061974117,Macro_IFI27,Mye
C1QC,2.43e-305,0.904803058,0.896,0.529,4.4699999999999997e-302,Macro_IFI27,0.904803058,Macro_IFI27,Mye
C1QA,1.6200000000000002e-266,0.692314327,0.893,0.551,2.99e-262,Macro_IFI27,0.692314327,Macro_IFI27,Mye
C1QB,1.2e-260,0.627787057,0.881,0.53,2.1999999999999998e-256,Macro_IFI27,0.627787057,Macro_IFI27,Mye
CCL2,0,4.771264849,0.409,0.1,0,Macro_ISG15,4.771264849,Macro_ISG15,Mye
CTSL,0,3.803940957,0.781,0.503,0,Macro_ISG15,3.803940957,Macro_ISG15,Mye
ISG15,0,3.648481612,0.963,0.395,0,Macro_ISG15,3.648481612,Macro_ISG15,Mye
IFIT1,0,3.532391949,0.686,0.076,0,Macro_ISG15,3.532391949,Macro_ISG15,Mye
CXCL10,0,3.520928363,0.42,0.136,0,Macro_ISG15,3.520928363,Macro_ISG15,Mye
APOBEC3A,0,3.497790692,0.51,0.114,0,Macro_ISG15,3.497790692,Macro_ISG15,Mye
IFI6,0,3.485091135,0.938,0.461,0,Macro_ISG15,3.485091135,Macro_ISG15,Mye
IFIT3,0,3.375503504,0.799,0.175,0,Macro_ISG15,3.375503504,Macro_ISG15,Mye
RSAD2,0,3.285976745,0.616,0.082,0,Macro_ISG15,3.285976745,Macro_ISG15,Mye
OASL,0,2.664988709,0.598,0.081,0,Macro_ISG15,2.664988709,Macro_ISG15,Mye
SELENOP,0,3.113856602,0.417,0.075,0,Macro_LYVE1,3.113856602,Macro_LYVE1,Mye
FOLR2,0,2.959454438,0.773,0.149,0,Macro_LYVE1,2.959454438,Macro_LYVE1,Mye
SLC40A1,0,2.902697799,0.778,0.202,0,Macro_LYVE1,2.902697799,Macro_LYVE1,Mye
PLTP,0,2.434010693,0.845,0.302,0,Macro_LYVE1,2.434010693,Macro_LYVE1,Mye
RNASE1,0,2.350785902,0.761,0.247,0,Macro_LYVE1,2.350785902,Macro_LYVE1,Mye
F13A1,0,2.345275799,0.686,0.209,0,Macro_LYVE1,2.345275799,Macro_LYVE1,Mye
DAB2,0,2.120400522,0.89,0.41,0,Macro_LYVE1,2.120400522,Macro_LYVE1,Mye
MS4A4A,0,1.98739476,0.858,0.397,0,Macro_LYVE1,1.98739476,Macro_LYVE1,Mye
LGMN,0,1.850447413,0.801,0.389,0,Macro_LYVE1,1.850447413,Macro_LYVE1,Mye
STAB1,0,1.846903514,0.788,0.322,0,Macro_LYVE1,1.846903514,Macro_LYVE1,Mye
IL1B,0,2.012088083,0.7,0.299,0,Macro_NLRP3,2.012088083,Macro_NLRP3,Mye
EREG,0,1.938799679,0.514,0.122,0,Macro_NLRP3,1.938799679,Macro_NLRP3,Mye
G0S2,0,1.864777029,0.468,0.158,0,Macro_NLRP3,1.864777029,Macro_NLRP3,Mye
NLRP3,0,1.651771696,0.553,0.234,0,Macro_NLRP3,1.651771696,Macro_NLRP3,Mye
THBS1,0,1.628194212,0.498,0.148,0,Macro_NLRP3,1.628194212,Macro_NLRP3,Mye
S100A9,0,1.440849123,0.742,0.428,0,Macro_NLRP3,1.440849123,Macro_NLRP3,Mye
CXCL2,0,1.383662174,0.538,0.196,0,Macro_NLRP3,1.383662174,Macro_NLRP3,Mye
PLAUR,0,1.32511162,0.898,0.616,0,Macro_NLRP3,1.32511162,Macro_NLRP3,Mye
S100A8,0,1.29406419,0.703,0.318,0,Macro_NLRP3,1.29406419,Macro_NLRP3,Mye
VEGFA,0,1.204657095,0.484,0.191,0,Macro_NLRP3,1.204657095,Macro_NLRP3,Mye
CXCL9,0,2.32046315,0.576,0.111,0,Macro_OLFML3,2.32046315,Macro_OLFML3,Mye
CXCL10,0,2.248913288,0.551,0.107,0,Macro_OLFML3,2.248913288,Macro_OLFML3,Mye
FN1,0,1.611110502,0.609,0.176,0,Macro_OLFML3,1.611110502,Macro_OLFML3,Mye
CXCL11,0,1.605403464,0.286,0.034,0,Macro_OLFML3,1.605403464,Macro_OLFML3,Mye
GBP5,0,1.601370506,0.767,0.186,0,Macro_OLFML3,1.601370506,Macro_OLFML3,Mye
GBP1,0,1.594390712,0.857,0.287,0,Macro_OLFML3,1.594390712,Macro_OLFML3,Mye
GBP4,0,1.553955992,0.822,0.215,0,Macro_OLFML3,1.553955992,Macro_OLFML3,Mye
C3,0,1.550367629,0.777,0.339,0,Macro_OLFML3,1.550367629,Macro_OLFML3,Mye
OLFML3,0,1.425738781,0.634,0.179,0,Macro_OLFML3,1.425738781,Macro_OLFML3,Mye
ANKRD22,0,1.37342719,0.697,0.172,0,Macro_OLFML3,1.37342719,Macro_OLFML3,Mye
TPSAB1,0,7.655509488,0.966,0.015,0,Mast,7.655509488,Mast,Mye
TPSB2,0,6.866360801,0.867,0.009,0,Mast,6.866360801,Mast,Mye
CPA3,0,6.225118599,0.919,0.002,0,Mast,6.225118599,Mast,Mye
TPSD1,0,4.684562452,0.597,0.006,0,Mast,4.684562452,Mast,Mye
HPGD,0,4.671642413,0.684,0.015,0,Mast,4.671642413,Mast,Mye
CLU,0,4.218901858,0.771,0.073,0,Mast,4.218901858,Mast,Mye
GATA2,0,4.214649409,0.783,0.001,0,Mast,4.214649409,Mast,Mye
KIT,0,4.1263626,0.72,0.005,0,Mast,4.1263626,Mast,Mye
MS4A2,0,3.827286978,0.528,0,0,Mast,3.827286978,Mast,Mye
HDC,0,3.749981191,0.472,0,0,Mast,3.749981191,Mast,Mye
S100A8,0,3.966489542,0.953,0.308,0,Mono_CD14,3.966489542,Mono_CD14,Mye
S100A12,0,3.395028403,0.66,0.075,0,Mono_CD14,3.395028403,Mono_CD14,Mye
S100A9,0,3.194663265,0.96,0.419,0,Mono_CD14,3.194663265,Mono_CD14,Mye
FCN1,0,2.758467199,0.822,0.209,0,Mono_CD14,2.758467199,Mono_CD14,Mye
VCAN,0,2.356235879,0.805,0.183,0,Mono_CD14,2.356235879,Mono_CD14,Mye
CSTA,0,1.781058594,0.667,0.412,0,Mono_CD14,1.781058594,Mono_CD14,Mye
CDA,0,1.676400135,0.373,0.068,0,Mono_CD14,1.676400135,Mono_CD14,Mye
LGALS2,0,1.671622473,0.501,0.239,0,Mono_CD14,1.671622473,Mono_CD14,Mye
CFP,0,1.565983012,0.567,0.181,0,Mono_CD14,1.565983012,Mono_CD14,Mye
STXBP2,0,1.436593876,0.666,0.402,0,Mono_CD14,1.436593876,Mono_CD14,Mye
IFITM2,0,2.049387914,0.917,0.636,0,Mono_CD16,2.049387914,Mono_CD16,Mye
MTSS1,0,1.969627649,0.608,0.183,0,Mono_CD16,1.969627649,Mono_CD16,Mye
TCF7L2,0,1.829053606,0.476,0.069,0,Mono_CD16,1.829053606,Mono_CD16,Mye
GPBAR1,0,1.75885217,0.363,0.084,0,Mono_CD16,1.75885217,Mono_CD16,Mye
FCGR3A,2.4299999999999997e-292,1.75262094,0.818,0.565,4.47e-288,Mono_CD16,1.75262094,Mono_CD16,Mye
C19orf38,0,1.725217489,0.587,0.22,0,Mono_CD16,1.725217489,Mono_CD16,Mye
LILRB2,0,1.703921698,0.765,0.445,0,Mono_CD16,1.703921698,Mono_CD16,Mye
LILRA1,0,1.692408289,0.425,0.101,0,Mono_CD16,1.692408289,Mono_CD16,Mye
FCN1,0,1.660793343,0.813,0.229,0,Mono_CD16,1.660793343,Mono_CD16,Mye
CD52,0,1.618982567,0.755,0.376,0,Mono_CD16,1.618982567,Mono_CD16,Mye
CXCL8,0,3.647632079,0.686,0.164,0,Mono_INHBA,3.647632079,Mono_INHBA,Mye
CCL20,0,3.459652966,0.345,0.048,0,Mono_INHBA,3.459652966,Mono_INHBA,Mye
CXCL3,0,3.006185656,0.569,0.137,0,Mono_INHBA,3.006185656,Mono_INHBA,Mye
INHBA,0,2.895171825,0.469,0.04,0,Mono_INHBA,2.895171825,Mono_INHBA,Mye
IL1B,0,2.893548546,0.697,0.313,0,Mono_INHBA,2.893548546,Mono_INHBA,Mye
CCL3L1,0,2.891887977,0.483,0.142,0,Mono_INHBA,2.891887977,Mono_INHBA,Mye
PTGS2,0,2.879558896,0.53,0.158,0,Mono_INHBA,2.879558896,Mono_INHBA,Mye
IL6,0,2.767441896,0.329,0.029,0,Mono_INHBA,2.767441896,Mono_INHBA,Mye
CXCL2,0,2.521685217,0.633,0.202,0,Mono_INHBA,2.521685217,Mono_INHBA,Mye
CCL3,0,2.472521157,0.768,0.352,0,Mono_INHBA,2.472521157,Mono_INHBA,Mye
GZMB,0,8.6301254019999991,0.783,0.014,0,pDC_LILRA4,8.6301254019999991,pDC_LILRA4,Mye
PTGDS,0,7.479966657,0.385,0.014,0,pDC_LILRA4,7.479966657,pDC_LILRA4,Mye
LILRA4,0,6.773576581,0.68,0.032,0,pDC_LILRA4,6.773576581,pDC_LILRA4,Mye
TCL1A,0,6.603413533,0.442,0.001,0,pDC_LILRA4,6.603413533,pDC_LILRA4,Mye
CLIC3,0,5.736877472,0.688,0.021,0,pDC_LILRA4,5.736877472,pDC_LILRA4,Mye
SERPINF1,0,5.539665334,0.742,0.386,0,pDC_LILRA4,5.539665334,pDC_LILRA4,Mye
CYB561A3,0,5.518796826,0.709,0.19,0,pDC_LILRA4,5.518796826,pDC_LILRA4,Mye
BCL11A,0,5.343740615,0.646,0.054,0,pDC_LILRA4,5.343740615,pDC_LILRA4,Mye
ITM2C,0,5.332982247,0.779,0.105,0,pDC_LILRA4,5.332982247,pDC_LILRA4,Mye
PLAC8,0,5.332693862,0.742,0.176,0,pDC_LILRA4,5.332693862,pDC_LILRA4,Mye
