cDC3_LAMP3,cDC_CLEC9A,cDC(CD1C),Macro_FOLR2-APOE+,Macro_FOLR2+APOE-,Macro_FOLR2+APOE+,Macro_IER3,Macro_IFI27,Macro_ISG15,Macro_LYVE1,Macro_NLRP3,Macro_OLFML3,Mast,Mono_CD14,Mono_CD16,Mono_INHBA,pDC_LILRA4
RAMP1,ASB2,FCGR2B,CFD,,RGS1,EGR1,,LY6E,LILRB5,VCAN,C1QB,VWA5A,CD300E,STXBP2,IL1RN,IRF7
IDO1,CCND1,HLA-DQA2,RHOB,,C1QA,CCL3,,IFIT2,PDK4,KDM6B,C1QA,HPGDS,THBS1,LILRA5,CCL4,IRF8
IL7R,HLA-DOB,LGALS2,A2M,,A2M,KLF2,,IL1RN,MAF,C5AR1,SERPING1,LTC4S,CD36,CDKN1C,C15orf48,MZB1
NCCRP1,LGALS2,CYP2S1,C1QC,,CYP27A1,ATF3,,IFITM1,C1QA,HBEGF,SCIN,SLC18A2,LILRA5,CDA,G0S2,TSPAN13
IL32,CLNK,GSN,DAB2,,GLA,KLF4,,MX1,C2,BCL2A1,VAMP5,CSF1,,LRRC25,CCL4L2,IRF4
LAD1,SNX3,CNN2,GPX1,,LIPA,C3,,MX2,SLCO2B1,OLR1,APOL3,IL1RL1,,CYTIP,TNIP3,SPIB
TRAF1,NAAA,CKLF,MAFB,,TMEM176B,IER2,,OAS3,C1QB,IER3,FCGR1A,CD69,,LYST,SPP1,IGKC
DAPP1,RGCC,PRCP,CD81,,APOC1,DUSP2,,SLC11A1,CD163L1,NAMPT,C1QC,RHEX,,ICAM2,EREG,C12orf75
CRIP1,NET1,HLA-DOA,ADORA3,,FOLR2,NR4A1,,TNFSF10,C1QC,TREM1,MDK,TIMP3,,SPN,TREM1,GPR183
KIF2A,FLT3,EIF3L,GPR34,,SGK1,TNFAIP3,,IFI30,GPR34,CD300E,STAT1,BACE2,,NAAA,TNFAIP6,PLD4
GPR157,IRF8,CSF2RA,C3,,TREM2,FOSB,,IFI44,IGF1,SLC11A1,TMEM176B,SOCS1,,TESC,PLAUR,SMPD3
TBC1D4,VAC14,PAK1,SCD,,PLD3,MAFB,,OAS1,FUCA1,FCN1,LGALS3BP,LAT,,LIMD2,ADM,TCF4
PPA1,NDRG2,IL13RA1,LIPA,,SOD2,PHACTR1,,CCR1,MS4A7,SLC25A37,GBP2,RAB27B,,ITGAL,AQP9,CXCR3
CLIC2,CST7,LSP1,CPM,,DHRS3,CXCL2,,IFI44L,PLD3,GK,PPA1,SIGLEC6,,CFD,BCL2A1,IGHM
RAB9A,DBN1,SPINT2,PLTP,,PLA2G7,HBEGF,,SDS,MRC1,SLC2A3,TNFSF10,RGS13,,SIDT2,MMP19,DERL3
GRSF1,BTLA,CLNS1A,AKR1B1,,C1QC,CSF1R,,IFITM2,CXCL12,AREG,FGL2,LMO4,,POU2F2,SLC25A37,ZFAT
RPS27L,TACSTD2,GLIPR1,C1QA,,MSR1,NLRP3,,FCGR3A,CD209,CCL3,LAP3,GRAP2,,CFP,VCAN,IL3RA
NUB1,TMEM14A,STK17B,SLC1A3,,CTSL,CLEC7A,,GBP1,A2M,,SLAMF8,NSMCE1,,LILRA3,IER3,POLB
DUSP4,CSRP1,PEA15,ABHD12,,HLA-DMB,IL1B,,HERC5,BLVRB,,GIMAP4,TNIK,,APOBEC3A,ANPEP,LTB
DUSP5,BATF3,IL18,HMOX1,,IFI30,PLXDC2,,PLSCR1,CD163,,CD40,MAOB,,MYO1G,SLC2A3,EGLN3
ANXA6,TAP1,TMEM14C,CD9,,ADAMDEC1,NFKBIZ,,SIGLEC1,TMEM37,,HAPLN3,CNRIP1,,ICAM3,SLC11A1,SELL
CDKN1A,CYB5R3,RNASE6,MSR1,,MGLL,C1QC,,XAF1,VSIG4,,GIMAP7,MLPH,,IFITM1,SLC39A8,LIME1
KDM2B,CNN2,ICAM3,VAT1,,PLTP,C1QA,,LGALS3BP,SIGLEC1,,IL4I1,HS3ST1,,BCL2A1,UPP1,JCHAIN
CD40,AP1G2,NAPSA,DNASE2,,LGALS3,CD83,,EPSTI1,NPL,,GIMAP5,SLC45A3,,CD300E,SDC2,IDH3A
GADD45A,ID2,,GYPC,,CTSC,,,IL4I1,LIPA,,TMEM176A,TESPA1,,,EHD1,CLEC4C
CD80,LSP1,,TIMP2,,APOE,,,IFI27,TSPAN4,,GSN,ATP6V0A2,,,SOCS3,PIM2
CD83,SLAMF7,,SLCO2B1,,ACP2,,,DDX60L,CREG1,,SNX10,SYTL3,,,NDRG1,NR3C1
TUBA1C,CCSER1,,C1QB,,CTSA,,,OAS2,GPNMB,,CD72,PTGS1,,,GK,TPM2
RELB,ANPEP,,LHFPL2,,C2,,,HPSE,CPM,,PSME2,SKAP1,,,EMP1,SEL1L3
RHOF,UCP2,,MERTK,,LGALS3BP,,,IFI35,FRMD4B,,FCGR3A,ATP5MC2,,,FNDC3B,PTPRCAP
MGLL,SLAMF8,,TSPAN4,,DNASE2,,,C15orf48,MSR1,,PSTPIP2,LIF,,,ATP13A3,PTPRS
CD200,PLCD1,,AP1B1,,CD72,,,SHISA5,SNX6,,SLC1A3,MAST4,,,ERO1A,UGCG
NFKB1,CAMK2D,,LRP1,,FABP5,,,USP18,TMEM176B,,EBI3,ITM2A,,,PDE4DIP,NUCB2
LY75,NAPSA,,FUCA1,,MMP9,,,DDX58,SDC3,,APOC1,SMYD3,,,CTSL,CCDC50
CALCRL,SUSD3,,PLXDC2,,SLCO2B1,,,FPR3,CD14,,YWHAH,CTSW,,,VEGFA,RASD1
POGLUT1,BCL6,,ADAP2,,RAB20,,,DYNLT1,OLFML2B,,FCGR1B,DLC1,,,TRAF1,KRT5
BASP1,NLRC5,,CD84,,ASAH1,,,RNF213,MS4A6A,,MARCKS,EGR1,,,FLNA,SLC20A1
ACHE,ICAM3,,PLD3,,SERPING1,,,SERPING1,TMEM176A,,APBB1IP,ADRB2,,,S100A9,PTCRA
GPR137B,PPA1,,YWHAH,,MGAT1,,,PARP9,LRP1,,APOE,CD82,,,,SIDT1
TVP23A,CYP2S1,,PMP22,,TMEM176A,,,MT2A,MERTK,,BHLHE41,STXBP6,,,,LY9
ADORA2A,PNMA1,,MARCKS,,TGFBI,,,PARP14,CSF1R,,SLC8A1,RACK1,,,,ALOX5AP
STK4,SRP19,,ACP5,,CREG1,,,ISG20,AP2A2,,CAMK2D,RAC2,,,,SELPLG
RAB8B,C1QBP,,,,SCPEP1,,,CMPK2,CD59,,EPSTI1,NTRK1,,,,GNL3
MALT1,CCDC126,,,,IL18BP,,,HELZ2,MAFB,,GIMAP1,P2RX1,,,,PLP2
RFTN1,APOL3,,,,NPL,,,VAMP5,MARCKS,,SAMD9L,RPL22,,,,SLC44A2
SINHCAF,MPEG1,,,,CTSH,,,TNFSF13B,FCHO2,,CD38,RPL30,,,,BLNK
CSF2RA,C1orf21,,,,MPP1,,,UBE2L6,FCGR3A,,P2RY13,RPL14,,,,SLC15A4
TRIP10,CDK2AP2,,,,SLC38A6,,,IFIH1,NAIP,,SFMBT2,RPL32,,,,LDLRAD4
BCL2L14,DCTPP1,,,,IGSF6,,,NT5C3A,NRP1,,PSMB9,RPL34,,,,LAMP5
NDE1,PRDX2,,,,C3AR1,,,EIF2AK2,CTSC,,IL18,RPL11,,,,PPP1R14B
PTPN1,PON2,,,,LAIR1,,,SCO2,,,AXL,RPL24,,,,ERN1
NRP2,LSM6,,,,IL4I1,,,STAT2,,,CTSH,RPS27A,,,,SOX4
NET1,ASAP1,,,,C1orf54,,,SAMD9L,,,CCND1,RPS7,,,,DNASE1L3
IL4I1,GSTM2,,,,HEXA,,,SAMD9,,,PAK1,MT-CYB,,,,MAP2K6
FNBP1,HDAC9,,,,FPR3,,,ADAR,,,P2RY6,RPS4X,,,,ST6GALNAC4
CRLF2,LIMD2,,,,TSC22D1,,,PML,,,REEP4,RPL12,,,,RPLP0
GCSAM,RHOF,,,,GNPDA1,,,STAT1,,,ADORA3,RPL7A,,,,APP
SLCO5A1,PIK3CB,,,,TSPAN4,,,IRF7,,,TNFSF13B,RPS8,,,,CLN8
MREG,CD226,,,,AXL,,,,,,DNASE2,RPL35A,,,,GAPT
ARHGAP10,GCSAM,,,,MFSD1,,,,,,SLAMF7,RPL5,,,,ZDHHC17
TBC1D8,SERPINB9,,,,FCGR3A,,,,,,TAP1,MT-CO2,,,,MYBL2
TNIP2,DCXR,,,,LAMP2,,,,,,STOM,RPL39,,,,RPS3A
USP12,ZNF366,,,,DNPH1,,,,,,ATF5,RPL18,,,,RPL3
TUBB6,NDUFS4,,,,CCL5,,,,,,RASSF4,,,,,MPEG1
CFLAR,PPM1J,,,,CPM,,,,,,MYOF,,,,,TSPYL2
SIAH2,SNRPA,,,,GM2A,,,,,,SCIMP,,,,,ADAM19
IL15,PDLIM7,,,,PILRA,,,,,,JAK2,,,,,SMIM5
SOCS2,TRPV2,,,,IFI27,,,,,,LPCAT2,,,,,RPL23A
NFKB2,ANXA6,,,,FUCA1,,,,,,HMOX1,,,,,RPS10
LIMCH1,LMNA,,,,SMPDL3A,,,,,,MNDA,,,,,RPL17
CD274,BID,,,,AKR1B1,,,,,,FMNL2,,,,,N4BP2L1
VOPP1,DUSP4,,,,GAA,,,,,,PTAFR,,,,,CNP
MAP3K14,FLOT2,,,,TFRC,,,,,,IFIT2,,,,,RPL10A
NABP1,MAP3K13,,,,PLEKHO2,,,,,,ETV5,,,,,OGT
CEP350,CKLF,,,,PIK3IP1,,,,,,APOL6,,,,,IGFLR1
CERS6,TMEM50B,,,,GALM,,,,,,PLEKHO1,,,,,SUSD1
PTMS,CD48,,,,CD81,,,,,,SIGLEC10,,,,,TSPAN3
ANKRD33B,ENSA,,,,ATOX1,,,,,,NMI,,,,,RPS5
PIM3,SNX22,,,,HLA-DOA,,,,,,LPAR6,,,,,CYFIP2
FAM118A,KCNK6,,,,HEXB,,,,,,GALM,,,,,NPC1
RAB5B,BIRC3,,,,SLC43A3,,,,,,GLRX,,,,,RPS27
MAP3K13,AIM2,,,,SLC15A3,,,,,,SERPINA1,,,,,RPSA
RAB29,CIITA,,,,AKR1A1,,,,,,IRF1,,,,,B4GALT1
TTYH2,CKS2,,,,SDCBP,,,,,,UBE2L6,,,,,TP53I11
ETV3,PSTPIP1,,,,NRP2,,,,,,MEF2A,,,,,OFD1
TRAFD1,AGPAT1,,,,SLAMF8,,,,,,CTSZ,,,,,SLAMF7
FLT3,MCM5,,,,PLIN2,,,,,,ADAP2,,,,,DCK
P2RY10,ELOVL5,,,,NAGK,,,,,,ASCL2,,,,,RPS6
SNX11,SERPINF2,,,,SEMA4A,,,,,,SMCO4,,,,,RPL9
CHST7,P2RY6,,,,SDHB,,,,,,SLC31A2,,,,,RPL4
HMSD,PTPRE,,,,PPT1,,,,,,A2M,,,,,RAB11FIP1
CYB5A,MAP4K1,,,,SGPL1,,,,,,IFIT3,,,,,RPL13A
MCOLN2,DENND1B,,,,CTSZ,,,,,,HLA-DQB2,,,,,SLA2
SOCS1,UBE2V2,,,,VAT1,,,,,,TMEM109,,,,,TRAF4
ASMTL,LYRM4,,,,TNFRSF14,,,,,,LHFPL2,,,,,EPHB1
ARAP2,MYADM,,,,SDSL,,,,,,SAMHD1,,,,,TRIM22
GRAMD1A,SLC1A5,,,,TNFAIP2,,,,,,PRCP,,,,,SLC7A5
LRRFIP2,ITGB7,,,,HSD17B4,,,,,,SNX6,,,,,SLC38A1
IL2RG,FNBP1,,,,MS4A4A,,,,,,PLXDC2,,,,,FCHSD2
ZBTB10,EIF6,,,,ADAM28,,,,,,MT2A,,,,,RPL31
ATF5,PAK1,,,,CYFIP1,,,,,,RGS1,,,,,RPL7
MYO1G,SCNM1,,,,RARRES1,,,,,,GNB4,,,,,DNAJB9
GLS,ERAP2,,,,PLXND1,,,,,,UBE2E2,,,,,P2RY14
NUAK2,G3BP2,,,,NUPR1,,,,,,CUL1,,,,,RUNX2
MMD,LIMA1,,,,TCN2,,,,,,LIPA,,,,,STMN1
TNFRSF9,TPD52,,,,MGAT4A,,,,,,PARP14,,,,,RPS20
TOMM34,PRMT2,,,,ALDH1A1,,,,,,HLA-DOA,,,,,RPN2
REPIN1,ADAM19,,,,PLA2G15,,,,,,CBR1,,,,,CARD11
RNF145,IDH2,,,,KLHDC8B,,,,,,AKR1A1,,,,,RPL5
PDCD1LG2,INPP5D,,,,IFNGR1,,,,,,TFEC,,,,,ADA
HLA-DOB,VAV3,,,,HSD17B14,,,,,,AOAH,,,,,RPS11
TNFRSF11A,UNC119,,,,PSMC2,,,,,,ALDH2,,,,,ALG2
ANXA7,SNRNP25,,,,SLC3A2,,,,,,FPR3,,,,,IL2RG
SNN,FGD2,,,,CMKLR1,,,,,,LILRB1,,,,,RPL6
NMRK1,TUBA1A,,,,SLC40A1,,,,,,RAB32,,,,,RPS23
STARD7,PPM1M,,,,GBA,,,,,,SCPEP1,,,,,RPS12
GPR132,UBL7,,,,SLC7A7,,,,,,TNFAIP8L2,,,,,RPL27
CYTIP,LPP,,,,DMXL2,,,,,,FUOM,,,,,RPL23
RUBCN,TOMM34,,,,CBR1,,,,,,PSMA4,,,,,RPS29
CCDC28B,C20orf27,,,,GCHFR,,,,,,ABI3,,,,,P2RY6
TRADD,THEM4,,,,ATP6AP1,,,,,,PSMB10,,,,,TLR9
NAV1,CD59,,,,RAB7A,,,,,,PEA15,,,,,AHI1
ARPP19,OSBPL9,,,,GBP2,,,,,,MGAT4A,,,,,RPS4X
TSPAN33,IFT20,,,,RASSF4,,,,,,ACP2,,,,,FYTTD1
RAB30,GYPC,,,,DENND2D,,,,,,TM6SF1,,,,,RPL21
TNFAIP8,RAB7B,,,,TRPV2,,,,,,HCST,,,,,CSF2RB
NAA25,MYD88,,,,COMMD4,,,,,,NUCKS1,,,,,RPS8
HAPLN3,SELPLG,,,,CSF1R,,,,,,TREM2,,,,,BTG2
BCL3,MZT2A,,,,VAMP5,,,,,,ETHE1,,,,,RPS3
LMNB1,HPS5,,,,SLC31A1,,,,,,AKR1B1,,,,,NREP
KYNU,PDLIM1,,,,CD84,,,,,,ECHS1,,,,,GPM6B
PTGES2,EGLN3,,,,SLAMF7,,,,,,EVL,,,,,PPM1K
NME2,SMCO4,,,,MS4A7,,,,,,KCTD12,,,,,SEMA7A
GPBP1,CCDC12,,,,SLC35F6,,,,,,SSB,,,,,RPS28
SPRED2,NAALADL1,,,,EIF4A3,,,,,,PSMC4,,,,,RPS13
DCAF6,ATP1A1,,,,BLVRA,,,,,,CYBB,,,,,RPL13
C17orf49,PTPN22,,,,ICAM1,,,,,,MEF2C,,,,,SFT2D2
CYTH1,PFDN2,,,,PTAFR,,,,,,LIMD2,,,,,SEC11C
HIVEP1,CLIC2,,,,ATP6AP2,,,,,,VOPP1,,,,,RPS15A
BIRC2,SERTAD3,,,,BLVRB,,,,,,DNMT1,,,,,RPL37A
PPP1R16B,PARVG,,,,HMOX1,,,,,,C20orf27,,,,,TNFRSF21
ARNTL2,MCOLN2,,,,RDX,,,,,,PDIA3,,,,,RPL15
CHD3,PTK2,,,,MERTK,,,,,,HLA-DMB,,,,,RPS25
FYTTD1,TLR10,,,,PEPD,,,,,,ATG3,,,,,RPS18
LYST,IL16,,,,CD38,,,,,,FCGR2B,,,,,RPL19
RUFY3,DAPP1,,,,OAZ2,,,,,,DRAP1,,,,,SEC61A1
SEMA7A,ADSL,,,,ACAA2,,,,,,LAIR1,,,,,MX1
RPL14,ACTN1,,,,SLC7A8,,,,,,CNDP2,,,,,RPS16
ANTXR2,HMGA1,,,,ABHD12,,,,,,LAT2,,,,,SLC12A3
IRF4,BIN1,,,,GUSB,,,,,,TLR2,,,,,ISG20
TNIP1,MYCL,,,,CLEC7A,,,,,,NUB1,,,,,SLC7A6
TBC1D10A,TSTD1,,,,ADAP2,,,,,,RAB8A,,,,,MCOLN2
PPM1K,NAV1,,,,LILRB4,,,,,,ATOX1,,,,,PDIA4
ADAM19,PTRHD1,,,,SCAMP2,,,,,,,,,,,ST3GAL4
RPS19,PARM1,,,,CCRL2,,,,,,,,,,,RPL7A
,EVL,,,,MRPL55,,,,,,,,,,,DCPS
,KIF16B,,,,P2RX4,,,,,,,,,,,RPL36A
,BIK,,,,HM13,,,,,,,,,,,LPXN
,HSH2D,,,,STOM,,,,,,,,,,,MAP1A
,TPMT,,,,IL18,,,,,,,,,,,GAS6
,EHD4,,,,TPP1,,,,,,,,,,,SPON2
,P2RY14,,,,CXCL16,,,,,,,,,,,RPS27A
,PTGES2,,,,ARL6IP1,,,,,,,,,,,RPL27A
,SRI,,,,LY96,,,,,,,,,,,AFF3
,TMEM243,,,,ATP6V0A1,,,,,,,,,,,SCAMP5
,SEMA4A,,,,PDE4DIP,,,,,,,,,,,CDK2AP2
,SFT2D2,,,,RNF130,,,,,,,,,,,HYOU1
,SRSF7,,,,HNMT,,,,,,,,,,,MAGED1
,MRPL18,,,,ALAS1,,,,,,,,,,,RPL10
,CACYBP,,,,CNDP2,,,,,,,,,,,WDFY4
,CD52,,,,ARAP1,,,,,,,,,,,NKG7
,SHTN1,,,,FUOM,,,,,,,,,,,RPS14
,TAP2,,,,PSMD4,,,,,,,,,,,PACSIN1
,CNPPD1,,,,BCAP31,,,,,,,,,,,SHD
,CCDC6,,,,SLC1A3,,,,,,,,,,,PAIP1
,MRPL3,,,,CNPY2,,,,,,,,,,,RPL41
,UBE2N,,,,LMAN2,,,,,,,,,,,ITGAE
,CHN2,,,,GPX3,,,,,,,,,,,RPL18A
,TRERF1,,,,RNH1,,,,,,,,,,,CTNS
,PTPN2,,,,CLEC4E,,,,,,,,,,,SMIM14
,MSL3,,,,RNF13,,,,,,,,,,,RPS19
,ITSN2,,,,COMT,,,,,,,,,,,FLNB
,MAP4,,,,NINJ1,,,,,,,,,,,NGLY1
,BASP1,,,,DPP7,,,,,,,,,,,RPL26
,DGAT2,,,,FCGR2A,,,,,,,,,,,SPN
,CRIP1,,,,STAT1,,,,,,,,,,,RNF5
,PTMS,,,,SLC29A3,,,,,,,,,,,GPX7
,ARF6,,,,TALDO1,,,,,,,,,,,CHAF1A
,NME4,,,,SDC3,,,,,,,,,,,RPL29
,LRRK2,,,,ATRAID,,,,,,,,,,,NEK8
,ACSL5,,,,HADHB,,,,,,,,,,,RPL18
,IDH3A,,,,IFNGR2,,,,,,,,,,,MRPL36
,SULF2,,,,CD163,,,,,,,,,,,RPS7
,PRMT1,,,,UCP2,,,,,,,,,,,RPN1
,PIM2,,,,FCGR1A,,,,,,,,,,,SLC2A1
,DSTN,,,,GPR34,,,,,,,,,,,OCIAD2
,OFD1,,,,CDK4,,,,,,,,,,,HS3ST3B1
,RAB32,,,,NDUFA12,,,,,,,,,,,RPL35
,SMIM14,,,,LHFPL2,,,,,,,,,,,SCT
,GNAO1,,,,SQSTM1,,,,,,,,,,,RPS9
,SNX20,,,,MGST3,,,,,,,,,,,RPLP1
,RAB11A,,,,SLC25A39,,,,,,,,,,,RPL11
,DYSF,,,,DRAM1,,,,,,,,,,,XBP1
,TIMM17B,,,,SELENOP,,,,,,,,,,,HIVEP1
,FDFT1,,,,APMAP,,,,,,,,,,,RPLP2
,CCT2,,,,NEK6,,,,,,,,,,,SNRNP25
,CYFIP2,,,,CD40,,,,,,,,,,,SH2D3C
,LASP1,,,,BLOC1S1,,,,,,,,,,,RPL38
,RAB11FIP1,,,,GLB1,,,,,,,,,,,RPL24
,AKR7A2,,,,SOAT1,,,,,,,,,,,LRRC26
,R3HDM4,,,,TTYH3,,,,,,,,,,,GRSF1
,TOX,,,,RAB1A,,,,,,,,,,,RPL22L1
,HSPB11,,,,KCNMA1,,,,,,,,,,,RPL35A
,MAGEF1,,,,CD14,,,,,,,,,,,CD320
,DLGAP4,,,,GAL3ST4,,,,,,,,,,,RPS21
,FBL,,,,CD53,,,,,,,,,,,INPP4A
,APOBR,,,,AMDHD2,,,,,,,,,,,VEGFB
,IGFBP7,,,,PSMB1,,,,,,,,,,,SMC6
,HNRNPLL,,,,LRPAP1,,,,,,,,,,,RPL30
,ETV6,,,,PRDX4,,,,,,,,,,,CHST12
,ATP6V0A2,,,,SMIM20,,,,,,,,,,,DUSP5
,LDLRAD4,,,,IDH1,,,,,,,,,,,TMIGD2
,TRABD,,,,COLGALT1,,,,,,,,,,,RPL34
,CSK,,,,PSME2,,,,,,,,,,,PMEPA1
,ACAP1,,,,DAB2,,,,,,,,,,,IRF2BP2
,CBFA2T3,,,,TSPAN14,,,,,,,,,,,COBLL1
,DPP4,,,,DAPK1,,,,,,,,,,,ARHGAP17
,LRBA,,,,ABCA1,,,,,,,,,,,C17orf49
,UPF2,,,,AOAH,,,,,,,,,,,PPP6R1
,TAF15,,,,LGALS9,,,,,,,,,,,PTP4A3
,DUSP2,,,,RBM47,,,,,,,,,,,RPL39
,REPIN1,,,,OLFML3,,,,,,,,,,,PLVAP
,DNAJC4,,,,RPN2,,,,,,,,,,,ATP13A2
,SNRPF,,,,ATP6V0D1,,,,,,,,,,,SNRPN
,ZEB1,,,,FCGR1B,,,,,,,,,,,PARP10
,ECE1,,,,APIP,,,,,,,,,,,RASSF2
,NFATC2,,,,NCEH1,,,,,,,,,,,RPL36AL
,FNIP2,,,,TMEM147,,,,,,,,,,,RPL14
,KIF2A,,,,ARHGEF10L,,,,,,,,,,,NAPSA
,BLOC1S6,,,,GSN,,,,,,,,,,,RPS26
,MCUR1,,,,ATP6V1H,,,,,,,,,,,RNF126
,BZW2,,,,RNASE1,,,,,,,,,,,TRABD
,HSDL2,,,,DDOST,,,,,,,,,,,SULF2
,RCN2,,,,GSTO1,,,,,,,,,,,RPL32
,STK17A,,,,ABHD2,,,,,,,,,,,RHOF
,PLEKHO1,,,,DEGS1,,,,,,,,,,,RPS17
,SLC38A1,,,,NABP1,,,,,,,,,,,CBX6
,FKBP1B,,,,TCEAL4,,,,,,,,,,,ABHD15
,RAB29,,,,PDCD5,,,,,,,,,,,RPS15
,NCOA7,,,,CORO1B,,,,,,,,,,,BTAF1
,SEPHS2,,,,CCT5,,,,,,,,,,,PHEX
,CBL,,,,LAMP1,,,,,,,,,,,CCDC69
,SCML1,,,,TWF2,,,,,,,,,,,GORASP2
,CXCR3,,,,MT-ATP6,,,,,,,,,,,SRSF10
,PXN,,,,FLVCR2,,,,,,,,,,,TLR7
,NSMCE1,,,,ATP6V1B2,,,,,,,,,,,UBE2J1
,SMARCA5,,,,STAB1,,,,,,,,,,,RPL12
,NBEAL2,,,,PCBD1,,,,,,,,,,,RPS2
,LRRCC1,,,,SMS,,,,,,,,,,,TEX2
,RUBCNL,,,,GIMAP4,,,,,,,,,,,RPS24
,OXSR1,,,,TPCN1,,,,,,,,,,,RPL37
,LMNB1,,,,TM2D2,,,,,,,,,,,P2RX1
,FBXO27,,,,VOPP1,,,,,,,,,,,OPN3
,GNA15,,,,TMEM59,,,,,,,,,,,SMARCB1
,CAMTA1,,,,MS4A6A,,,,,,,,,,,RPL28
,MBP,,,,TMEM37,,,,,,,,,,,CXXC5
,MARCKSL1,,,,GNS,,,,,,,,,,,ODC1
,SPN,,,,UROD,,,,,,,,,,,ARL4C
,EIF5B,,,,ADH5,,,,,,,,,,,HSPA1B
,SPNS1,,,,VSIG4,,,,,,,,,,,KCTD5
,MZT2B,,,,EMC4,,,,,,,,,,,IFNLR1
,SSRP1,,,,ADPGK,,,,,,,,,,,PNRC2
,NUP210,,,,CALU,,,,,,,,,,,ANKRD11
,UBE2J1,,,,CD59,,,,,,,,,,,PIK3CG
,EZR,,,,RAB5C,,,,,,,,,,,RPAIN
,,,,,WIPI1,,,,,,,,,,,MT-ND2
,,,,,ORMDL2,,,,,,,,,,,RPL22
,,,,,MPDU1,,,,,,,,,,,MT-ND4L
,,,,,SIGLEC10,,,,,,,,,,,RPL36
,,,,,MARCKS,,,,,,,,,,,GNG7
,,,,,CD86,,,,,,,,,,,MT-ND5
,,,,,CCDC47,,,,,,,,,,,CD2AP
,,,,,CXCL10,,,,,,,,,,,CBFA2T3
,,,,,SLC31A2,,,,,,,,,,,ATP2A3
,,,,,TNS3,,,,,,,,,,,RPL8
,,,,,ADIPOR1,,,,,,,,,,,IKZF1
,,,,,PSMF1,,,,,,,,,,,RPS6KA4
,,,,,CCR1,,,,,,,,,,,CDKN2D
,,,,,ATP6V1E1,,,,,,,,,,,ARID3A
,,,,,SOD1,,,,,,,,,,,AEBP1
,,,,,CYBB,,,,,,,,,,,GRAMD1B
,,,,,SH3GLB1,,,,,,,,,,,REPIN1
,,,,,GADD45G,,,,,,,,,,,FUZ
,,,,,VPS29,,,,,,,,,,,PRKCB
,,,,,SCARB2,,,,,,,,,,,C15orf39
,,,,,CDS2,,,,,,,,,,,MT-CO2
,,,,,ALDH2,,,,,,,,,,,MT-ND1
,,,,,SNX8,,,,,,,,,,,MEF2D
,,,,,SNX2,,,,,,,,,,,MDFIC
,,,,,CCDC107,,,,,,,,,,,ETV6
,,,,,PCK2,,,,,,,,,,,MT-ATP8
,,,,,VKORC1,,,,,,,,,,,HSPA1A
,,,,,FYB1,,,,,,,,,,,RNF11
,,,,,MMP14,,,,,,,,,,,PAXX
,,,,,TAPBPL,,,,,,,,,,,MAPKAPK2
,,,,,SMCO4,,,,,,,,,,,ST3GAL2
,,,,,ANAPC13,,,,,,,,,,,BCL7A
,,,,,ARPC4,,,,,,,,,,,PAG1
,,,,,MPC1,,,,,,,,,,,IGF2R
,,,,,C5AR1,,,,,,,,,,,MT-ND3
,,,,,CYB5R1,,,,,,,,,,,CDYL
,,,,,ANXA7,,,,,,,,,,,MT-CO1
