gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,avg_strength,cluster0,celltype
LGALS2,0,2.808547435,0.878,0.245,0,cDC_CLEC9A,2.808547435,cDC_CLEC9A,Mye
CLNK,0,2.709164685,0.688,0.015,0,cDC_CLEC9A,2.709164685,cDC_CLEC9A,Mye
SNX3,0,2.69664065,0.95,0.685,0,cDC_CLEC9A,2.69664065,cDC_CLEC9A,Mye
NAAA,1.66e-295,2.65785019,0.811,0.359,3.0699999999999998e-291,cDC_CLEC9A,2.65785019,cDC_CLEC9A,Mye
RGCC,0,2.515316956,0.83,0.215,0,cDC_CLEC9A,2.515316956,cDC_CLEC9A,Mye
NET1,0,2.469635056,0.687,0.086,0,cDC_CLEC9A,2.469635056,cDC_CLEC9A,Mye
FLT3,0,2.400394928,0.647,0.06,0,cDC_CLEC9A,2.400394928,cDC_CLEC9A,Mye
CD1C,0,3.561873655,0.58,0.036,0,cDC(CD1C),3.561873655,cDC(CD1C),Mye
FCER1A,0,3.471870924,0.671,0.078,0,cDC(CD1C),3.471870924,cDC(CD1C),Mye
CD1E,0,2.877612529,0.53,0.029,0,cDC(CD1C),2.877612529,cDC(CD1C),Mye
CLEC10A,0,2.787168269,0.714,0.168,0,cDC(CD1C),2.787168269,cDC(CD1C),Mye
IL1R2,0,1.999035248,0.323,0.073,0,cDC(CD1C),1.999035248,cDC(CD1C),Mye
NDRG2,0,1.795362611,0.545,0.1,0,cDC(CD1C),1.795362611,cDC(CD1C),Mye
HLA-DQB2,0,1.70637772,0.602,0.285,0,cDC(CD1C),1.70637772,cDC(CD1C),Mye
CST7,0,1.580623763,0.456,0.109,0,cDC(CD1C),1.580623763,cDC(CD1C),Mye
PPA1,0,1.55612884,0.804,0.422,0,cDC(CD1C),1.55612884,cDC(CD1C),Mye
PKIB,0,1.48948512,0.628,0.202,0,cDC(CD1C),1.48948512,cDC(CD1C),Mye
FCGR2B,0,1.276938678,0.74,0.389,0,cDC(CD1C),1.276938678,cDC(CD1C),Mye
HLA-DQA2,0,1.197209261,0.764,0.484,0,cDC(CD1C),1.197209261,cDC(CD1C),Mye
LGALS2,0,1.176596435,0.485,0.231,0,cDC(CD1C),1.176596435,cDC(CD1C),Mye
CYP2S1,0,1.170210398,0.354,0.1,0,cDC(CD1C),1.170210398,cDC(CD1C),Mye
GSN,0,1.127673646,0.898,0.604,0,cDC(CD1C),1.127673646,cDC(CD1C),Mye
CNN2,0,1.0400165,0.696,0.369,0,cDC(CD1C),1.0400165,cDC(CD1C),Mye
CKLF,0,0.977585088,0.73,0.48,0,cDC(CD1C),0.977585088,cDC(CD1C),Mye
PRCP,5.7599999999999994e-297,0.964393996,0.624,0.363,1.06e-292,cDC(CD1C),0.964393996,cDC(CD1C),Mye
HLA-DOA,1.0599999999999999e-242,0.927061265,0.625,0.367,1.9499999999999996e-238,cDC(CD1C),0.927061265,cDC(CD1C),Mye
EIF3L,0,0.896965261,0.854,0.571,0,cDC(CD1C),0.896965261,cDC(CD1C),Mye
APOE,0,2.024185079,0.934,0.437,0,Macro_FOLR2-APOE+,2.024185079,Macro_FOLR2-APOE+,Mye
APOC1,0,1.836488075,0.917,0.44,0,Macro_FOLR2-APOE+,1.836488075,Macro_FOLR2-APOE+,Mye
TREM2,0,1.363859461,0.869,0.331,0,Macro_FOLR2-APOE+,1.363859461,Macro_FOLR2-APOE+,Mye
NUPR1,0,1.232917767,0.613,0.151,0,Macro_FOLR2-APOE+,1.232917767,Macro_FOLR2-APOE+,Mye
MTRNR2L8,0,1.232088396,0.699,0.398,0,Macro_FOLR2-APOE+,1.232088396,Macro_FOLR2-APOE+,Mye
RNASE1,0,1.206205809,0.668,0.208,0,Macro_FOLR2-APOE+,1.206205809,Macro_FOLR2-APOE+,Mye
GPNMB,0,0.956335521,0.802,0.258,0,Macro_FOLR2-APOE+,0.956335521,Macro_FOLR2-APOE+,Mye
PDK4,0,0.849671485,0.633,0.258,0,Macro_FOLR2-APOE+,0.849671485,Macro_FOLR2-APOE+,Mye
KCNMA1,0,0.84878049,0.593,0.206,0,Macro_FOLR2-APOE+,0.84878049,Macro_FOLR2-APOE+,Mye
LPL,0,0.83823958,0.308,0.032,0,Macro_FOLR2-APOE+,0.83823958,Macro_FOLR2-APOE+,Mye
CFD,0,0.823814117,0.817,0.521,0,Macro_FOLR2-APOE+,0.823814117,Macro_FOLR2-APOE+,Mye
RHOB,0,0.815223003,0.79,0.501,0,Macro_FOLR2-APOE+,0.815223003,Macro_FOLR2-APOE+,Mye
A2M,0,0.809640548,0.809,0.321,0,Macro_FOLR2-APOE+,0.809640548,Macro_FOLR2-APOE+,Mye
C1QC,0,0.795708474,0.959,0.478,0,Macro_FOLR2-APOE+,0.795708474,Macro_FOLR2-APOE+,Mye
DAB2,0,0.722958262,0.829,0.369,0,Macro_FOLR2-APOE+,0.722958262,Macro_FOLR2-APOE+,Mye
GPX1,0,0.643684749,0.8,0.508,0,Macro_FOLR2-APOE+,0.643684749,Macro_FOLR2-APOE+,Mye
MAFB,0,0.643064039,0.893,0.545,0,Macro_FOLR2-APOE+,0.643064039,Macro_FOLR2-APOE+,Mye
CD81,0,0.614659323,0.777,0.41,0,Macro_FOLR2-APOE+,0.614659323,Macro_FOLR2-APOE+,Mye
ADORA3,0,0.606755213,0.544,0.217,0,Macro_FOLR2-APOE+,0.606755213,Macro_FOLR2-APOE+,Mye
GPR34,0,0.605843458,0.608,0.257,0,Macro_FOLR2-APOE+,0.605843458,Macro_FOLR2-APOE+,Mye
SELENOP,3.9499999999999993e-218,3.317492146,0.46,0.088,7.27e-214,Macro_FOLR2+APOE-,3.317492146,Macro_FOLR2+APOE-,Mye
SLC40A1,6.259999999999999e-106,2.180391466,0.548,0.227,1.1499999999999998e-101,Macro_FOLR2+APOE-,2.180391466,Macro_FOLR2+APOE-,Mye
FOLR2,3.29e-98,1.500153516,0.476,0.177,6.07e-94,Macro_FOLR2+APOE-,1.500153516,Macro_FOLR2+APOE-,Mye
F13A1,1.24e-68,1.406187662,0.484,0.229,2.28e-64,Macro_FOLR2+APOE-,1.406187662,Macro_FOLR2+APOE-,Mye
PLTP,5.8e-71,1.376890952,0.586,0.326,1.0699999999999999e-66,Macro_FOLR2+APOE-,1.376890952,Macro_FOLR2+APOE-,Mye
RNASE1,8.08e-102,1.264429869,0.631,0.268,1.49e-97,Macro_FOLR2+APOE-,1.264429869,Macro_FOLR2+APOE-,Mye
C1QC,2.5999999999999996e-118,1.062039138,0.951,0.541,4.7899999999999996e-114,Macro_FOLR2+APOE-,1.062039138,Macro_FOLR2+APOE-,Mye
C1QA,1.28e-116,1.007198763,0.953,0.562,2.36e-112,Macro_FOLR2+APOE-,1.007198763,Macro_FOLR2+APOE-,Mye
C1QB,1.5899999999999998e-99,0.768041441,0.953,0.541,2.9199999999999996e-95,Macro_FOLR2+APOE-,0.768041441,Macro_FOLR2+APOE-,Mye
CTSZ,1.34e-8,0.169749013,0.397,0.655,2.47e-4,Macro_FOLR2+APOE-,0.169749013,Macro_FOLR2+APOE-,Mye
GPNMB,0,2.797657357,0.929,0.318,0,Macro_FOLR2+APOE+,2.797657357,Macro_FOLR2+APOE+,Mye
CCL18,0,2.775104039,0.346,0.045,0,Macro_FOLR2+APOE+,2.775104039,Macro_FOLR2+APOE+,Mye
SDS,2.32e-97,2.693731095,0.487,0.211,4.28e-93,Macro_FOLR2+APOE+,2.693731095,Macro_FOLR2+APOE+,Mye
PLAU,3.9399999999999997e-271,2.587667729,0.587,0.183,7.27e-267,Macro_FOLR2+APOE+,2.587667729,Macro_FOLR2+APOE+,Mye
CXCL9,0,2.456188923,0.714,0.142,0,Macro_FOLR2+APOE+,2.456188923,Macro_FOLR2+APOE+,Mye
NR1H3,0,2.439949298,0.743,0.133,0,Macro_FOLR2+APOE+,2.439949298,Macro_FOLR2+APOE+,Mye
LGMN,0,2.43445078,0.93,0.394,0,Macro_FOLR2+APOE+,2.43445078,Macro_FOLR2+APOE+,Mye
CCL4,8.53e-82,2.429218976,0.571,0.302,1.5700000000000001e-77,Macro_FOLR2+APOE+,2.429218976,Macro_FOLR2+APOE+,Mye
ACP5,0,2.394013419,0.876,0.386,0,Macro_FOLR2+APOE+,2.394013419,Macro_FOLR2+APOE+,Mye
C1QB,0,2.33502664,0.986,0.533,0,Macro_FOLR2+APOE+,2.33502664,Macro_FOLR2+APOE+,Mye
RGS1,1.23e-37,2.307822792,0.911,0.635,2.27e-33,Macro_FOLR2+APOE+,2.307822792,Macro_FOLR2+APOE+,Mye
C1QA,0,2.216352953,0.987,0.554,0,Macro_FOLR2+APOE+,2.216352953,Macro_FOLR2+APOE+,Mye
A2M,2.3299999999999998e-184,2.204085611,0.836,0.376,4.289999999999999e-180,Macro_FOLR2+APOE+,2.204085611,Macro_FOLR2+APOE+,Mye
CYP27A1,0,2.188572931,0.446,0.085,0,Macro_FOLR2+APOE+,2.188572931,Macro_FOLR2+APOE+,Mye
GLA,9.519999999999998e-160,2.096246248,0.691,0.3,1.75e-155,Macro_FOLR2+APOE+,2.096246248,Macro_FOLR2+APOE+,Mye
LIPA,3.359999999999999e-227,2.070162933,0.932,0.489,6.189999999999999e-223,Macro_FOLR2+APOE+,2.070162933,Macro_FOLR2+APOE+,Mye
TMEM176B,0,2.047320143,0.98,0.522,0,Macro_FOLR2+APOE+,2.047320143,Macro_FOLR2+APOE+,Mye
APOC1,0,2.034405306,0.962,0.494,0,Macro_FOLR2+APOE+,2.034405306,Macro_FOLR2+APOE+,Mye
FOLR2,7.13e-188,1.994909789,0.505,0.171,1.3099999999999997e-183,Macro_FOLR2+APOE+,1.994909789,Macro_FOLR2+APOE+,Mye
SGK1,1.71e-12,1.988543805,0.856,0.597,3.15e-8,Macro_FOLR2+APOE+,1.988543805,Macro_FOLR2+APOE+,Mye
CCL4L2,0,1.561907873,0.558,0.177,0,Macro_IER3,1.561907873,Macro_IER3,Mye
RHOB,1.56e-263,1.2587154,0.827,0.528,2.8700000000000003e-259,Macro_IER3,1.2587154,Macro_IER3,Mye
CCL4,0,1.144260101,0.696,0.292,0,Macro_IER3,1.144260101,Macro_IER3,Mye
CCL3L1,0,1.079877379,0.495,0.147,0,Macro_IER3,1.079877379,Macro_IER3,Mye
TNF,8.669999999999999e-222,1.0152694310000001,0.419,0.161,1.5999999999999998e-217,Macro_IER3,1.0152694310000001,Macro_IER3,Mye
GADD45B,0,0.983104782,0.906,0.63,0,Macro_IER3,0.983104782,Macro_IER3,Mye
IER3,0,0.979968302,0.881,0.516,0,Macro_IER3,0.979968302,Macro_IER3,Mye
SGK1,0,0.979694786,0.902,0.591,0,Macro_IER3,0.979694786,Macro_IER3,Mye
C5AR1,3.58e-244,0.890785679,0.722,0.393,6.599999999999999e-240,Macro_IER3,0.890785679,Macro_IER3,Mye
NR4A2,0,0.868140254,0.851,0.432,0,Macro_IER3,0.868140254,Macro_IER3,Mye
EGR1,3.529999999999999e-227,0.842925033,0.574,0.273,6.489999999999999e-223,Macro_IER3,0.842925033,Macro_IER3,Mye
CCL3,0,0.81394819,0.782,0.357,0,Macro_IER3,0.81394819,Macro_IER3,Mye
KLF2,1.65e-161,0.788913234,0.524,0.265,3.03e-157,Macro_IER3,0.788913234,Macro_IER3,Mye
ATF3,0,0.728276094,0.813,0.415,0,Macro_IER3,0.728276094,Macro_IER3,Mye
KLF4,1.48e-245,0.671379422,0.75,0.433,2.7299999999999998e-241,Macro_IER3,0.671379422,Macro_IER3,Mye
C3,7.909999999999999e-174,0.65481724,0.666,0.371,1.4599999999999998e-169,Macro_IER3,0.65481724,Macro_IER3,Mye
IER2,5.06e-263,0.646786097,0.896,0.62,9.310000000000001e-259,Macro_IER3,0.646786097,Macro_IER3,Mye
DUSP2,4.0499999999999995e-191,0.623690158,0.572,0.288,7.46e-187,Macro_IER3,0.623690158,Macro_IER3,Mye
NR4A1,0,0.58211973400000006,0.776,0.403,0,Macro_IER3,0.58211973400000006,Macro_IER3,Mye
TNFAIP3,5.779999999999999e-193,0.541571693,0.81,0.53,1.07e-188,Macro_IER3,0.541571693,Macro_IER3,Mye
APOC1,6.809999999999999e-286,1.237781702,0.797,0.493,1.2500000000000001e-281,Macro_IFI27,1.237781702,Macro_IFI27,Mye
APOE,4.2799999999999996e-287,1.061974117,0.841,0.491,7.89e-283,Macro_IFI27,1.061974117,Macro_IFI27,Mye
C1QC,2.43e-305,0.904803058,0.896,0.529,4.4699999999999997e-302,Macro_IFI27,0.904803058,Macro_IFI27,Mye
C1QA,1.6200000000000002e-266,0.692314327,0.893,0.551,2.99e-262,Macro_IFI27,0.692314327,Macro_IFI27,Mye
C1QB,1.2e-260,0.627787057,0.881,0.53,2.1999999999999998e-256,Macro_IFI27,0.627787057,Macro_IFI27,Mye
CCL2,0,4.771264849,0.409,0.1,0,Macro_ISG15,4.771264849,Macro_ISG15,Mye
CTSL,0,3.803940957,0.781,0.503,0,Macro_ISG15,3.803940957,Macro_ISG15,Mye
ISG15,0,3.648481612,0.963,0.395,0,Macro_ISG15,3.648481612,Macro_ISG15,Mye
IFIT1,0,3.532391949,0.686,0.076,0,Macro_ISG15,3.532391949,Macro_ISG15,Mye
CXCL10,0,3.520928363,0.42,0.136,0,Macro_ISG15,3.520928363,Macro_ISG15,Mye
APOBEC3A,0,3.497790692,0.51,0.114,0,Macro_ISG15,3.497790692,Macro_ISG15,Mye
IFI6,0,3.485091135,0.938,0.461,0,Macro_ISG15,3.485091135,Macro_ISG15,Mye
IFIT3,0,3.375503504,0.799,0.175,0,Macro_ISG15,3.375503504,Macro_ISG15,Mye
RSAD2,0,3.285976745,0.616,0.082,0,Macro_ISG15,3.285976745,Macro_ISG15,Mye
OASL,0,2.664988709,0.598,0.081,0,Macro_ISG15,2.664988709,Macro_ISG15,Mye
LY6E,0,2.637272557,0.942,0.523,0,Macro_ISG15,2.637272557,Macro_ISG15,Mye
IFIT2,0,2.578725257,0.66,0.164,0,Macro_ISG15,2.578725257,Macro_ISG15,Mye
IL1RN,0,2.534457153,0.509,0.201,0,Macro_ISG15,2.534457153,Macro_ISG15,Mye
IFITM1,0,2.519754719,0.804,0.22,0,Macro_ISG15,2.519754719,Macro_ISG15,Mye
MX1,0,2.4967499,0.896,0.298,0,Macro_ISG15,2.4967499,Macro_ISG15,Mye
MX2,0,2.154675199,0.737,0.241,0,Macro_ISG15,2.154675199,Macro_ISG15,Mye
OAS3,0,2.139160627,0.595,0.119,0,Macro_ISG15,2.139160627,Macro_ISG15,Mye
SLC11A1,0,2.133069441,0.795,0.447,0,Macro_ISG15,2.133069441,Macro_ISG15,Mye
TNFSF10,0,2.112385469,0.693,0.34,0,Macro_ISG15,2.112385469,Macro_ISG15,Mye
IFI30,2.39e-264,2.062922415,0.822,0.553,4.41e-260,Macro_ISG15,2.062922415,Macro_ISG15,Mye
SELENOP,0,3.113856602,0.417,0.075,0,Macro_LYVE1,3.113856602,Macro_LYVE1,Mye
FOLR2,0,2.959454438,0.773,0.149,0,Macro_LYVE1,2.959454438,Macro_LYVE1,Mye
SLC40A1,0,2.902697799,0.778,0.202,0,Macro_LYVE1,2.902697799,Macro_LYVE1,Mye
PLTP,0,2.434010693,0.845,0.302,0,Macro_LYVE1,2.434010693,Macro_LYVE1,Mye
RNASE1,0,2.350785902,0.761,0.247,0,Macro_LYVE1,2.350785902,Macro_LYVE1,Mye
F13A1,0,2.345275799,0.686,0.209,0,Macro_LYVE1,2.345275799,Macro_LYVE1,Mye
DAB2,0,2.120400522,0.89,0.41,0,Macro_LYVE1,2.120400522,Macro_LYVE1,Mye
MS4A4A,0,1.98739476,0.858,0.397,0,Macro_LYVE1,1.98739476,Macro_LYVE1,Mye
LGMN,0,1.850447413,0.801,0.389,0,Macro_LYVE1,1.850447413,Macro_LYVE1,Mye
STAB1,0,1.846903514,0.788,0.322,0,Macro_LYVE1,1.846903514,Macro_LYVE1,Mye
LILRB5,0,1.817596145,0.381,0.059,0,Macro_LYVE1,1.817596145,Macro_LYVE1,Mye
PDK4,0,1.69446239,0.655,0.293,0,Macro_LYVE1,1.69446239,Macro_LYVE1,Mye
MAF,0,1.678601931,0.654,0.141,0,Macro_LYVE1,1.678601931,Macro_LYVE1,Mye
C1QA,0,1.56798763,0.983,0.545,0,Macro_LYVE1,1.56798763,Macro_LYVE1,Mye
C2,1.0999999999999998e-253,1.55356862,0.404,0.15,2.0299999999999997e-249,Macro_LYVE1,1.55356862,Macro_LYVE1,Mye
SLCO2B1,0,1.532728462,0.821,0.346,0,Macro_LYVE1,1.532728462,Macro_LYVE1,Mye
C1QB,0,1.524304055,0.976,0.523,0,Macro_LYVE1,1.524304055,Macro_LYVE1,Mye
CD163L1,0,1.476568628,0.278,0.02,0,Macro_LYVE1,1.476568628,Macro_LYVE1,Mye
C1QC,0,1.46438202,0.985,0.523,0,Macro_LYVE1,1.46438202,Macro_LYVE1,Mye
GPR34,0,1.435434574,0.66,0.287,0,Macro_LYVE1,1.435434574,Macro_LYVE1,Mye
IL1B,0,2.012088083,0.7,0.299,0,Macro_NLRP3,2.012088083,Macro_NLRP3,Mye
EREG,0,1.938799679,0.514,0.122,0,Macro_NLRP3,1.938799679,Macro_NLRP3,Mye
G0S2,0,1.864777029,0.468,0.158,0,Macro_NLRP3,1.864777029,Macro_NLRP3,Mye
NLRP3,0,1.651771696,0.553,0.234,0,Macro_NLRP3,1.651771696,Macro_NLRP3,Mye
THBS1,0,1.628194212,0.498,0.148,0,Macro_NLRP3,1.628194212,Macro_NLRP3,Mye
S100A9,0,1.440849123,0.742,0.428,0,Macro_NLRP3,1.440849123,Macro_NLRP3,Mye
CXCL2,0,1.383662174,0.538,0.196,0,Macro_NLRP3,1.383662174,Macro_NLRP3,Mye
PLAUR,0,1.32511162,0.898,0.616,0,Macro_NLRP3,1.32511162,Macro_NLRP3,Mye
S100A8,0,1.29406419,0.703,0.318,0,Macro_NLRP3,1.29406419,Macro_NLRP3,Mye
VEGFA,0,1.204657095,0.484,0.191,0,Macro_NLRP3,1.204657095,Macro_NLRP3,Mye
VCAN,0,1.186704758,0.608,0.188,0,Macro_NLRP3,1.186704758,Macro_NLRP3,Mye
KDM6B,0,1.169539854,0.63,0.312,0,Macro_NLRP3,1.169539854,Macro_NLRP3,Mye
C5AR1,0,1.16213817,0.642,0.385,0,Macro_NLRP3,1.16213817,Macro_NLRP3,Mye
HBEGF,0,1.141436703,0.572,0.246,0,Macro_NLRP3,1.141436703,Macro_NLRP3,Mye
BCL2A1,0,1.125808794,0.75,0.443,0,Macro_NLRP3,1.125808794,Macro_NLRP3,Mye
OLR1,0,1.082555082,0.582,0.325,0,Macro_NLRP3,1.082555082,Macro_NLRP3,Mye
IER3,0,1.061447629,0.786,0.508,0,Macro_NLRP3,1.061447629,Macro_NLRP3,Mye
NAMPT,0,1.026725642,0.84,0.547,0,Macro_NLRP3,1.026725642,Macro_NLRP3,Mye
TREM1,0,1.012835801,0.504,0.211,0,Macro_NLRP3,1.012835801,Macro_NLRP3,Mye
CD300E,0,0.972213009,0.406,0.143,0,Macro_NLRP3,0.972213009,Macro_NLRP3,Mye
CXCL9,0,2.32046315,0.576,0.111,0,Macro_OLFML3,2.32046315,Macro_OLFML3,Mye
CXCL10,0,2.248913288,0.551,0.107,0,Macro_OLFML3,2.248913288,Macro_OLFML3,Mye
FN1,0,1.611110502,0.609,0.176,0,Macro_OLFML3,1.611110502,Macro_OLFML3,Mye
CXCL11,0,1.605403464,0.286,0.034,0,Macro_OLFML3,1.605403464,Macro_OLFML3,Mye
GBP5,0,1.601370506,0.767,0.186,0,Macro_OLFML3,1.601370506,Macro_OLFML3,Mye
GBP1,0,1.594390712,0.857,0.287,0,Macro_OLFML3,1.594390712,Macro_OLFML3,Mye
GBP4,0,1.553955992,0.822,0.215,0,Macro_OLFML3,1.553955992,Macro_OLFML3,Mye
C3,0,1.550367629,0.777,0.339,0,Macro_OLFML3,1.550367629,Macro_OLFML3,Mye
OLFML3,0,1.425738781,0.634,0.179,0,Macro_OLFML3,1.425738781,Macro_OLFML3,Mye
ANKRD22,0,1.37342719,0.697,0.172,0,Macro_OLFML3,1.37342719,Macro_OLFML3,Mye
C1QB,0,1.264219889,0.887,0.507,0,Macro_OLFML3,1.264219889,Macro_OLFML3,Mye
C1QA,0,1.16693283,0.897,0.529,0,Macro_OLFML3,1.16693283,Macro_OLFML3,Mye
SERPING1,0,1.155256698,0.877,0.342,0,Macro_OLFML3,1.155256698,Macro_OLFML3,Mye
SCIN,0,1.153772361,0.407,0.051,0,Macro_OLFML3,1.153772361,Macro_OLFML3,Mye
VAMP5,0,1.086500561,0.908,0.432,0,Macro_OLFML3,1.086500561,Macro_OLFML3,Mye
APOL3,0,1.081148094,0.56,0.139,0,Macro_OLFML3,1.081148094,Macro_OLFML3,Mye
FCGR1A,0,1.081017909,0.829,0.363,0,Macro_OLFML3,1.081017909,Macro_OLFML3,Mye
C1QC,0,1.077061352,0.889,0.507,0,Macro_OLFML3,1.077061352,Macro_OLFML3,Mye
MDK,0,1.041788736,0.362,0.064,0,Macro_OLFML3,1.041788736,Macro_OLFML3,Mye
STAT1,0,0.923243461,0.916,0.472,0,Macro_OLFML3,0.923243461,Macro_OLFML3,Mye
TPSAB1,0,7.655509488,0.966,0.015,0,Mast,7.655509488,Mast,Mye
TPSB2,0,6.866360801,0.867,0.009,0,Mast,6.866360801,Mast,Mye
CPA3,0,6.225118599,0.919,0.002,0,Mast,6.225118599,Mast,Mye
TPSD1,0,4.684562452,0.597,0.006,0,Mast,4.684562452,Mast,Mye
HPGD,0,4.671642413,0.684,0.015,0,Mast,4.671642413,Mast,Mye
CLU,0,4.218901858,0.771,0.073,0,Mast,4.218901858,Mast,Mye
GATA2,0,4.214649409,0.783,0.001,0,Mast,4.214649409,Mast,Mye
KIT,0,4.1263626,0.72,0.005,0,Mast,4.1263626,Mast,Mye
MS4A2,0,3.827286978,0.528,0,0,Mast,3.827286978,Mast,Mye
HDC,0,3.749981191,0.472,0,0,Mast,3.749981191,Mast,Mye
VWA5A,0,3.684158675,0.733,0.042,0,Mast,3.684158675,Mast,Mye
HPGDS,0,3.552535609,0.552,0.043,0,Mast,3.552535609,Mast,Mye
LTC4S,0,3.125045444,0.77,0.25,0,Mast,3.125045444,Mast,Mye
SLC18A2,0,3.012996632,0.502,0.004,0,Mast,3.012996632,Mast,Mye
CSF1,0,2.966365297,0.385,0.018,0,Mast,2.966365297,Mast,Mye
IL1RL1,0,2.861535928,0.452,0.001,0,Mast,2.861535928,Mast,Mye
CD69,0,2.699057567,0.642,0.187,0,Mast,2.699057567,Mast,Mye
RHEX,0,2.671031457,0.513,0.015,0,Mast,2.671031457,Mast,Mye
TIMP3,0,2.534103474,0.398,0.013,0,Mast,2.534103474,Mast,Mye
BACE2,0,2.442221093,0.498,0.011,0,Mast,2.442221093,Mast,Mye
S100A8,0,3.966489542,0.953,0.308,0,Mono_CD14,3.966489542,Mono_CD14,Mye
S100A12,0,3.395028403,0.66,0.075,0,Mono_CD14,3.395028403,Mono_CD14,Mye
S100A9,0,3.194663265,0.96,0.419,0,Mono_CD14,3.194663265,Mono_CD14,Mye
FCN1,0,2.758467199,0.822,0.209,0,Mono_CD14,2.758467199,Mono_CD14,Mye
VCAN,0,2.356235879,0.805,0.183,0,Mono_CD14,2.356235879,Mono_CD14,Mye
CSTA,0,1.781058594,0.667,0.412,0,Mono_CD14,1.781058594,Mono_CD14,Mye
CDA,0,1.676400135,0.373,0.068,0,Mono_CD14,1.676400135,Mono_CD14,Mye
LGALS2,0,1.671622473,0.501,0.239,0,Mono_CD14,1.671622473,Mono_CD14,Mye
CFP,0,1.565983012,0.567,0.181,0,Mono_CD14,1.565983012,Mono_CD14,Mye
STXBP2,0,1.436593876,0.666,0.402,0,Mono_CD14,1.436593876,Mono_CD14,Mye
CD300E,0,1.334796541,0.441,0.146,0,Mono_CD14,1.334796541,Mono_CD14,Mye
