gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,avg_strength,cluster0,celltype
KDM2B,0,1.455393727,0.568,0.135,0,cDC3_LAMP3,1.455393727,cDC3_LAMP3,Mye
CD40,0,1.439873366,0.665,0.28,0,cDC3_LAMP3,1.439873366,cDC3_LAMP3,Mye
GADD45A,0,1.428544225,0.408,0.064,0,cDC3_LAMP3,1.428544225,cDC3_LAMP3,Mye
CD80,0,1.405284886,0.444,0.083,0,cDC3_LAMP3,1.405284886,cDC3_LAMP3,Mye
CD83,0,1.384272859,0.809,0.479,0,cDC3_LAMP3,1.384272859,cDC3_LAMP3,Mye
TUBA1C,3.0599999999999994e-211,1.37885266,0.667,0.37,5.63e-207,cDC3_LAMP3,1.37885266,cDC3_LAMP3,Mye
RELB,0,1.376612187,0.657,0.232,0,cDC3_LAMP3,1.376612187,cDC3_LAMP3,Mye
RHOF,0,1.369767129,0.613,0.144,0,cDC3_LAMP3,1.369767129,cDC3_LAMP3,Mye
MGLL,0,1.35386423,0.572,0.145,0,cDC3_LAMP3,1.35386423,cDC3_LAMP3,Mye
CD200,0,1.352661054,0.45,0.004,0,cDC3_LAMP3,1.352661054,cDC3_LAMP3,Mye
NFKB1,9.420000000000001e-282,1.343108212,0.651,0.277,1.74e-277,cDC3_LAMP3,1.343108212,cDC3_LAMP3,Mye
LY75,0,1.288488276,0.497,0.083,0,cDC3_LAMP3,1.288488276,cDC3_LAMP3,Mye
CALCRL,0,1.257703618,0.333,0.048,0,cDC3_LAMP3,1.257703618,cDC3_LAMP3,Mye
POGLUT1,0,1.255357668,0.52,0.09,0,cDC3_LAMP3,1.255357668,cDC3_LAMP3,Mye
BASP1,1.0399999999999999e-258,1.251152865,0.685,0.336,1.92e-254,cDC3_LAMP3,1.251152865,cDC3_LAMP3,Mye
ACHE,0,1.249640446,0.354,0.007,0,cDC3_LAMP3,1.249640446,cDC3_LAMP3,Mye
GPR137B,1.0999999999999999e-225,1.224350967,0.62,0.288,2.02e-221,cDC3_LAMP3,1.224350967,cDC3_LAMP3,Mye
TVP23A,0,1.214327009,0.439,0.065,0,cDC3_LAMP3,1.214327009,cDC3_LAMP3,Mye
ADORA2A,0,1.2114255,0.336,0.021,0,cDC3_LAMP3,1.2114255,cDC3_LAMP3,Mye
STK4,3.3099999999999994e-250,1.188241593,0.72,0.42,6.089999999999999e-246,cDC3_LAMP3,1.188241593,cDC3_LAMP3,Mye
RAB8B,0,1.171885541,0.622,0.239,0,cDC3_LAMP3,1.171885541,cDC3_LAMP3,Mye
MALT1,6.539999999999999e-284,1.154520222,0.514,0.169,1.1999999999999998e-279,cDC3_LAMP3,1.154520222,cDC3_LAMP3,Mye
RFTN1,0,1.150768166,0.615,0.187,0,cDC3_LAMP3,1.150768166,cDC3_LAMP3,Mye
SINHCAF,0,1.127500768,0.36,0.079,0,cDC3_LAMP3,1.127500768,cDC3_LAMP3,Mye
CSF2RA,5.789999999999999e-211,1.124404238,0.702,0.408,1.07e-206,cDC3_LAMP3,1.124404238,cDC3_LAMP3,Mye
TRIP10,0,1.122451715,0.499,0.081,0,cDC3_LAMP3,1.122451715,cDC3_LAMP3,Mye
BCL2L14,0,1.120210694,0.316,0.015,0,cDC3_LAMP3,1.120210694,cDC3_LAMP3,Mye
NDE1,0,1.105167991,0.508,0.148,0,cDC3_LAMP3,1.105167991,cDC3_LAMP3,Mye
PTPN1,5.0299999999999996e-228,1.080944665,0.702,0.392,9.259999999999997e-224,cDC3_LAMP3,1.080944665,cDC3_LAMP3,Mye
NRP2,1.53e-275,1.067826702,0.548,0.199,2.81e-271,cDC3_LAMP3,1.067826702,cDC3_LAMP3,Mye
NET1,0,1.054328416,0.461,0.086,0,cDC3_LAMP3,1.054328416,cDC3_LAMP3,Mye
IL4I1,1.7199999999999997e-243,1.047112763,0.584,0.224,3.1799999999999996e-239,cDC3_LAMP3,1.047112763,cDC3_LAMP3,Mye
FNBP1,3.439999999999999e-235,1.040685415,0.723,0.424,6.339999999999999e-231,cDC3_LAMP3,1.040685415,cDC3_LAMP3,Mye
CRLF2,0,1.034064711,0.344,0.021,0,cDC3_LAMP3,1.034064711,cDC3_LAMP3,Mye
GCSAM,0,1.021972828,0.303,0.016,0,cDC3_LAMP3,1.021972828,cDC3_LAMP3,Mye
SLCO5A1,0,1.021084035,0.398,0.005,0,cDC3_LAMP3,1.021084035,cDC3_LAMP3,Mye
MREG,0,0.98884813,0.418,0.039,0,cDC3_LAMP3,0.98884813,cDC3_LAMP3,Mye
ARHGAP10,0,0.973645977,0.464,0.121,0,cDC3_LAMP3,0.973645977,cDC3_LAMP3,Mye
TBC1D8,7.67e-274,0.944596369,0.513,0.17,1.4100000000000001e-269,cDC3_LAMP3,0.944596369,cDC3_LAMP3,Mye
TNIP2,3.3e-193,0.941074039,0.471,0.176,6.0699999999999996e-189,cDC3_LAMP3,0.941074039,cDC3_LAMP3,Mye
USP12,0,0.940929318,0.455,0.09,0,cDC3_LAMP3,0.940929318,cDC3_LAMP3,Mye
TUBB6,4.139999999999999e-291,0.938844227,0.508,0.163,7.619999999999999e-287,cDC3_LAMP3,0.938844227,cDC3_LAMP3,Mye
CFLAR,1.91e-255,0.936928085,0.794,0.503,3.52e-251,cDC3_LAMP3,0.936928085,cDC3_LAMP3,Mye
SIAH2,0,0.934885969,0.495,0.13,0,cDC3_LAMP3,0.934885969,cDC3_LAMP3,Mye
IL15,0,0.92719268,0.463,0.118,0,cDC3_LAMP3,0.92719268,cDC3_LAMP3,Mye
SOCS2,0,0.92591705,0.364,0.026,0,cDC3_LAMP3,0.92591705,cDC3_LAMP3,Mye
NFKB2,6.25e-251,0.900736726,0.572,0.216,1.15e-246,cDC3_LAMP3,0.900736726,cDC3_LAMP3,Mye
LIMCH1,0,0.899346311,0.3,0.008,0,cDC3_LAMP3,0.899346311,cDC3_LAMP3,Mye
CD274,0,0.898011951,0.442,0.065,0,cDC3_LAMP3,0.898011951,cDC3_LAMP3,Mye
VOPP1,9.769999999999999e-244,0.891313309,0.671,0.337,1.7999999999999998e-239,cDC3_LAMP3,0.891313309,cDC3_LAMP3,Mye
MAP3K14,0,0.873922879,0.407,0.057,0,cDC3_LAMP3,0.873922879,cDC3_LAMP3,Mye
NABP1,2.08e-156,0.849982082,0.614,0.331,3.8399999999999995e-152,cDC3_LAMP3,0.849982082,cDC3_LAMP3,Mye
CEP350,6.58e-181,0.844080461,0.581,0.281,1.2099999999999998e-176,cDC3_LAMP3,0.844080461,cDC3_LAMP3,Mye
CERS6,0,0.838872581,0.493,0.132,0,cDC3_LAMP3,0.838872581,cDC3_LAMP3,Mye
PTMS,1.7599999999999999e-146,0.824425861,0.633,0.354,3.24e-142,cDC3_LAMP3,0.824425861,cDC3_LAMP3,Mye
ANKRD33B,0,0.798875451,0.349,0.009,0,cDC3_LAMP3,0.798875451,cDC3_LAMP3,Mye
PIM3,4.179999999999999e-121,0.795036061,0.536,0.278,7.700000000000001e-117,cDC3_LAMP3,0.795036061,cDC3_LAMP3,Mye
FAM118A,1.2599999999999998e-178,0.791386257,0.442,0.16,2.33e-174,cDC3_LAMP3,0.791386257,cDC3_LAMP3,Mye
RAB5B,2.8299999999999995e-224,0.791080149,0.503,0.186,5.2e-220,cDC3_LAMP3,0.791080149,cDC3_LAMP3,Mye
MAP3K13,1.8799999999999996e-229,0.785969509,0.524,0.203,3.4699999999999997e-225,cDC3_LAMP3,0.785969509,cDC3_LAMP3,Mye
RAB29,2.2799999999999999e-293,0.783280577,0.409,0.107,4.2000000000000005e-289,cDC3_LAMP3,0.783280577,cDC3_LAMP3,Mye
TTYH2,0,0.783190527,0.388,0.088,0,cDC3_LAMP3,0.783190527,cDC3_LAMP3,Mye
ETV3,0,0.780057736,0.508,0.135,0,cDC3_LAMP3,0.780057736,cDC3_LAMP3,Mye
TRAFD1,0,0.77156369,0.538,0.168,0,cDC3_LAMP3,0.77156369,cDC3_LAMP3,Mye
FLT3,0,0.768584829,0.404,0.061,0,cDC3_LAMP3,0.768584829,cDC3_LAMP3,Mye
P2RY10,0,0.767530375,0.329,0.024,0,cDC3_LAMP3,0.767530375,cDC3_LAMP3,Mye
SNX11,5.009999999999999e-224,0.75725536,0.379,0.111,9.22e-220,cDC3_LAMP3,0.75725536,cDC3_LAMP3,Mye
CHST7,0,0.75672753,0.314,0.039,0,cDC3_LAMP3,0.75672753,cDC3_LAMP3,Mye
HMSD,0,0.754119497,0.331,0.003,0,cDC3_LAMP3,0.754119497,cDC3_LAMP3,Mye
CYB5A,4.949999999999999e-158,0.741821054,0.514,0.232,9.120000000000001e-154,cDC3_LAMP3,0.741821054,cDC3_LAMP3,Mye
MCOLN2,3.38e-241,0.741115716,0.387,0.109,6.219999999999999e-237,cDC3_LAMP3,0.741115716,cDC3_LAMP3,Mye
SOCS1,2.2399999999999998e-178,0.739201321,0.491,0.195,4.129999999999999e-174,cDC3_LAMP3,0.739201321,cDC3_LAMP3,Mye
ASMTL,3.34e-179,0.715962326,0.38,0.127,6.15e-175,cDC3_LAMP3,0.715962326,cDC3_LAMP3,Mye
ARAP2,0,0.715774671,0.402,0.094,0,cDC3_LAMP3,0.715774671,cDC3_LAMP3,Mye
GRAMD1A,2.8899999999999995e-182,0.710005486,0.453,0.174,5.31e-178,cDC3_LAMP3,0.710005486,cDC3_LAMP3,Mye
LRRFIP2,4.6e-239,0.706776048,0.589,0.242,8.469999999999997e-235,cDC3_LAMP3,0.706776048,cDC3_LAMP3,Mye
IL2RG,1.45e-254,0.700788021,0.688,0.313,2.67e-250,cDC3_LAMP3,0.700788021,cDC3_LAMP3,Mye
ZBTB10,1.87e-245,0.700247374,0.332,0.08,3.45e-241,cDC3_LAMP3,0.700247374,cDC3_LAMP3,Mye
ATF5,1.2099999999999998e-110,0.697326407,0.614,0.353,2.2299999999999996e-106,cDC3_LAMP3,0.697326407,cDC3_LAMP3,Mye
MYO1G,4.38e-191,0.695578928,0.598,0.274,8.07e-187,cDC3_LAMP3,0.695578928,cDC3_LAMP3,Mye
GLS,1.43e-155,0.693419248,0.466,0.196,2.6299999999999994e-151,cDC3_LAMP3,0.693419248,cDC3_LAMP3,Mye
NUAK2,0,0.691368821,0.365,0.055,0,cDC3_LAMP3,0.691368821,cDC3_LAMP3,Mye
MMD,2.9100000000000004e-259,0.690209856,0.409,0.114,5.36e-255,cDC3_LAMP3,0.690209856,cDC3_LAMP3,Mye
TNFRSF9,0,0.688158418,0.321,0.026,0,cDC3_LAMP3,0.688158418,cDC3_LAMP3,Mye
TOMM34,0,0.686821145,0.481,0.093,0,cDC3_LAMP3,0.686821145,cDC3_LAMP3,Mye
REPIN1,2.0599999999999998e-256,0.679545028,0.447,0.136,3.7899999999999995e-252,cDC3_LAMP3,0.679545028,cDC3_LAMP3,Mye
RNF145,4.2700000000000004e-123,0.67715113,0.54,0.267,7.869999999999998e-119,cDC3_LAMP3,0.67715113,cDC3_LAMP3,Mye
PDCD1LG2,6.35e-305,0.670825466,0.36,0.081,1.17e-301,cDC3_LAMP3,0.670825466,cDC3_LAMP3,Mye
HLA-DOB,0,0.653631421,0.33,0.063,0,cDC3_LAMP3,0.653631421,cDC3_LAMP3,Mye
TNFRSF11A,0,0.645375909,0.31,0.048,0,cDC3_LAMP3,0.645375909,cDC3_LAMP3,Mye
ANXA7,9.2e-125,0.638846102,0.627,0.365,1.69e-120,cDC3_LAMP3,0.638846102,cDC3_LAMP3,Mye
SNN,3.08e-241,0.638353064,0.44,0.137,5.669999999999999e-237,cDC3_LAMP3,0.638353064,cDC3_LAMP3,Mye
NMRK1,4.92e-297,0.634017019,0.425,0.114,9.059999999999999e-293,cDC3_LAMP3,0.634017019,cDC3_LAMP3,Mye
STARD7,1.26e-129,0.630682044,0.554,0.298,2.3299999999999998e-125,cDC3_LAMP3,0.630682044,cDC3_LAMP3,Mye
GPR132,4.9099999999999986e-235,0.628877639,0.426,0.127,9.049999999999998e-231,cDC3_LAMP3,0.628877639,cDC3_LAMP3,Mye
CYTIP,9.459999999999999e-200,0.628105666,0.69,0.382,1.7399999999999996e-195,cDC3_LAMP3,0.628105666,cDC3_LAMP3,Mye
RUBCN,6.16e-281,0.623775085,0.355,0.081,1.1300000000000001e-276,cDC3_LAMP3,0.623775085,cDC3_LAMP3,Mye
CCDC28B,0,0.608704882,0.315,0.039,0,cDC3_LAMP3,0.608704882,cDC3_LAMP3,Mye
TRADD,2.1599999999999997e-170,0.605608148,0.534,0.237,3.9799999999999995e-166,cDC3_LAMP3,0.605608148,cDC3_LAMP3,Mye
NAV1,5.209999999999999e-233,0.598837259,0.381,0.105,9.599999999999997e-229,cDC3_LAMP3,0.598837259,cDC3_LAMP3,Mye
ARPP19,5.32e-131,0.592900312,0.526,0.261,9.8e-127,cDC3_LAMP3,0.592900312,cDC3_LAMP3,Mye
TSPAN33,7.409999999999999e-218,0.592435692,0.355,0.099,1.3599999999999998e-213,cDC3_LAMP3,0.592435692,cDC3_LAMP3,Mye
RAB30,0,0.590989891,0.374,0.023,0,cDC3_LAMP3,0.590989891,cDC3_LAMP3,Mye
TNFAIP8,1.8e-116,0.590453239,0.583,0.328,3.3099999999999997e-112,cDC3_LAMP3,0.590453239,cDC3_LAMP3,Mye
NAA25,2.1399999999999998e-302,0.586474692,0.409,0.104,3.929999999999999e-298,cDC3_LAMP3,0.586474692,cDC3_LAMP3,Mye
HAPLN3,6.53e-201,0.581907155,0.359,0.107,1.1999999999999999e-196,cDC3_LAMP3,0.581907155,cDC3_LAMP3,Mye
BCL3,1.4900000000000001e-123,0.571590509,0.466,0.21,2.749999999999999e-119,cDC3_LAMP3,0.571590509,cDC3_LAMP3,Mye
LMNB1,3.709999999999999e-158,0.567951979,0.403,0.148,6.84e-154,cDC3_LAMP3,0.567951979,cDC3_LAMP3,Mye
KYNU,8.869999999999999e-112,0.565457361,0.565,0.308,1.6299999999999997e-107,cDC3_LAMP3,0.565457361,cDC3_LAMP3,Mye
PTGES2,2.8999999999999996e-144,0.564293026,0.478,0.213,5.33e-140,cDC3_LAMP3,0.564293026,cDC3_LAMP3,Mye
NME2,9.139999999999999e-87,0.561615056,0.614,0.351,1.68e-82,cDC3_LAMP3,0.561615056,cDC3_LAMP3,Mye
GPBP1,4.599999999999999e-143,0.555977389,0.615,0.336,8.47e-139,cDC3_LAMP3,0.555977389,cDC3_LAMP3,Mye
SPRED2,0,0.555350114,0.341,0.049,0,cDC3_LAMP3,0.555350114,cDC3_LAMP3,Mye
DCAF6,1.61e-203,0.550677912,0.438,0.147,2.97e-199,cDC3_LAMP3,0.550677912,cDC3_LAMP3,Mye
C17orf49,3.73e-284,0.545226826,0.584,0.219,6.87e-280,cDC3_LAMP3,0.545226826,cDC3_LAMP3,Mye
CYTH1,1.4299999999999998e-157,0.542713269,0.613,0.318,2.6299999999999995e-153,cDC3_LAMP3,0.542713269,cDC3_LAMP3,Mye
HIVEP1,0,0.534489993,0.4,0.084,0,cDC3_LAMP3,0.534489993,cDC3_LAMP3,Mye
BIRC2,1.86e-158,0.534098802,0.49,0.206,3.42e-154,cDC3_LAMP3,0.534098802,cDC3_LAMP3,Mye
PPP1R16B,0,0.533133043,0.307,0.032,0,cDC3_LAMP3,0.533133043,cDC3_LAMP3,Mye
ARNTL2,0,0.526656772,0.302,0.024,0,cDC3_LAMP3,0.526656772,cDC3_LAMP3,Mye
CHD3,2.3399999999999995e-202,0.515651983,0.417,0.135,4.3100000000000005e-198,cDC3_LAMP3,0.515651983,cDC3_LAMP3,Mye
FYTTD1,1.9499999999999997e-180,0.502738664,0.539,0.239,3.589999999999999e-176,cDC3_LAMP3,0.502738664,cDC3_LAMP3,Mye
LYST,3.2199999999999994e-177,0.466128164,0.529,0.221,5.9299999999999995e-173,cDC3_LAMP3,0.466128164,cDC3_LAMP3,Mye
RUFY3,9.86e-181,0.436535889,0.38,0.123,1.8199999999999996e-176,cDC3_LAMP3,0.436535889,cDC3_LAMP3,Mye
SEMA7A,0,0.427699037,0.308,0.048,0,cDC3_LAMP3,0.427699037,cDC3_LAMP3,Mye
RPL14,8.84e-142,0.384603866,0.794,0.535,1.63e-137,cDC3_LAMP3,0.384603866,cDC3_LAMP3,Mye
ANTXR2,2.25e-204,0.350371704,0.442,0.148,4.1399999999999994e-200,cDC3_LAMP3,0.350371704,cDC3_LAMP3,Mye
IRF4,0,0.347146616,0.451,0.081,0,cDC3_LAMP3,0.347146616,cDC3_LAMP3,Mye
TNIP1,8.509999999999998e-107,0.320282947,0.601,0.338,1.57e-102,cDC3_LAMP3,0.320282947,cDC3_LAMP3,Mye
TBC1D10A,1.4099999999999999e-195,0.314874537,0.373,0.113,2.6e-191,cDC3_LAMP3,0.314874537,cDC3_LAMP3,Mye
PPM1K,4.3199999999999994e-215,0.286185695,0.446,0.147,7.96e-211,cDC3_LAMP3,0.286185695,cDC3_LAMP3,Mye
ADAM19,1.3499999999999996e-235,0.279742432,0.378,0.101,2.4899999999999996e-231,cDC3_LAMP3,0.279742432,cDC3_LAMP3,Mye
RPS19,3.35e-140,0.270034092,0.821,0.568,6.17e-136,cDC3_LAMP3,0.270034092,cDC3_LAMP3,Mye
C1orf54,0,3.901823596,0.893,0.271,0,cDC_CLEC9A,3.901823596,cDC_CLEC9A,Mye
IDO1,0,3.884862128,0.796,0.097,0,cDC_CLEC9A,3.884862128,cDC_CLEC9A,Mye
CLEC9A,0,3.709144783,0.813,0.029,0,cDC_CLEC9A,3.709144783,cDC_CLEC9A,Mye
DNASE1L3,0,3.474886537,0.74,0.054,0,cDC_CLEC9A,3.474886537,cDC_CLEC9A,Mye
XCR1,0,3.437153073,0.573,0.001,0,cDC_CLEC9A,3.437153073,cDC_CLEC9A,Mye
S100B,0,3.396137747,0.526,0.093,0,cDC_CLEC9A,3.396137747,cDC_CLEC9A,Mye
CPVL,0,3.322989473,0.917,0.557,0,cDC_CLEC9A,3.322989473,cDC_CLEC9A,Mye
WDFY4,0,3.287893992,0.817,0.15,0,cDC_CLEC9A,3.287893992,cDC_CLEC9A,Mye
CPNE3,0,2.979715496,0.879,0.231,0,cDC_CLEC9A,2.979715496,cDC_CLEC9A,Mye
CADM1,0,2.937863723,0.621,0.107,0,cDC_CLEC9A,2.937863723,cDC_CLEC9A,Mye
ASB2,0,2.934448905,0.486,0.021,0,cDC_CLEC9A,2.934448905,cDC_CLEC9A,Mye
CCND1,0,2.906963297,0.738,0.154,0,cDC_CLEC9A,2.906963297,cDC_CLEC9A,Mye
HLA-DOB,0,2.87068232,0.612,0.061,0,cDC_CLEC9A,2.87068232,cDC_CLEC9A,Mye
LGALS2,0,2.808547435,0.878,0.245,0,cDC_CLEC9A,2.808547435,cDC_CLEC9A,Mye
CLNK,0,2.709164685,0.688,0.015,0,cDC_CLEC9A,2.709164685,cDC_CLEC9A,Mye
SNX3,0,2.69664065,0.95,0.685,0,cDC_CLEC9A,2.69664065,cDC_CLEC9A,Mye
NAAA,1.66e-295,2.65785019,0.811,0.359,3.0699999999999998e-291,cDC_CLEC9A,2.65785019,cDC_CLEC9A,Mye
RGCC,0,2.515316956,0.83,0.215,0,cDC_CLEC9A,2.515316956,cDC_CLEC9A,Mye
NET1,0,2.469635056,0.687,0.086,0,cDC_CLEC9A,2.469635056,cDC_CLEC9A,Mye
FLT3,0,2.400394928,0.647,0.06,0,cDC_CLEC9A,2.400394928,cDC_CLEC9A,Mye
IRF8,0,2.374035855,0.922,0.368,0,cDC_CLEC9A,2.374035855,cDC_CLEC9A,Mye
VAC14,0,2.355669521,0.68,0.148,0,cDC_CLEC9A,2.355669521,cDC_CLEC9A,Mye
NDRG2,2.58e-203,2.341099698,0.514,0.138,4.75e-199,cDC_CLEC9A,2.341099698,cDC_CLEC9A,Mye
CST7,1.8499999999999998e-165,2.311452152,0.466,0.138,3.41e-161,cDC_CLEC9A,2.311452152,cDC_CLEC9A,Mye
DBN1,0,2.240742057,0.432,0.01,0,cDC_CLEC9A,2.240742057,cDC_CLEC9A,Mye
BTLA,0,2.203883055,0.459,0.013,0,cDC_CLEC9A,2.203883055,cDC_CLEC9A,Mye
TACSTD2,0,2.169058074,0.442,0.018,0,cDC_CLEC9A,2.169058074,cDC_CLEC9A,Mye
TMEM14A,0,2.148296274,0.622,0.058,0,cDC_CLEC9A,2.148296274,cDC_CLEC9A,Mye
CSRP1,2.18e-203,2.145637466,0.654,0.25,4.02e-199,cDC_CLEC9A,2.145637466,cDC_CLEC9A,Mye
BATF3,0,2.135642729,0.588,0.064,0,cDC_CLEC9A,2.135642729,cDC_CLEC9A,Mye
TAP1,1e-226,2.129773255,0.814,0.415,1.8399999999999997e-222,cDC_CLEC9A,2.129773255,cDC_CLEC9A,Mye
CYB5R3,2.6999999999999997e-215,2.102028961,0.779,0.403,4.98e-211,cDC_CLEC9A,2.102028961,cDC_CLEC9A,Mye
CNN2,1.72e-289,2.079564707,0.834,0.394,3.18e-285,cDC_CLEC9A,2.079564707,cDC_CLEC9A,Mye
AP1G2,1.93e-135,2.076661592,0.437,0.137,3.56e-131,cDC_CLEC9A,2.076661592,cDC_CLEC9A,Mye
ID2,9.73e-147,2.075013156,0.854,0.551,1.7899999999999998e-142,cDC_CLEC9A,2.075013156,cDC_CLEC9A,Mye
LSP1,0,2.070525781,0.963,0.665,0,cDC_CLEC9A,2.070525781,cDC_CLEC9A,Mye
SLAMF7,7.82e-305,2.020039636,0.699,0.2,1.4399999999999997e-303,cDC_CLEC9A,2.020039636,cDC_CLEC9A,Mye
CCSER1,0,2.01265419,0.482,0.026,0,cDC_CLEC9A,2.01265419,cDC_CLEC9A,Mye
ANPEP,2.09e-186,2.007061294,0.622,0.201,3.849999999999999e-182,cDC_CLEC9A,2.007061294,cDC_CLEC9A,Mye
UCP2,5.369999999999999e-178,1.993039476,0.894,0.629,9.889999999999998e-174,cDC_CLEC9A,1.993039476,cDC_CLEC9A,Mye
SLAMF8,6.490000000000001e-73,1.925158734,0.612,0.32,1.2e-68,cDC_CLEC9A,1.925158734,cDC_CLEC9A,Mye
PLCD1,0,1.923331904,0.436,0.037,0,cDC_CLEC9A,1.923331904,cDC_CLEC9A,Mye
CAMK2D,0,1.868833469,0.666,0.159,0,cDC_CLEC9A,1.868833469,cDC_CLEC9A,Mye
NAPSA,0,1.866755239,0.694,0.17,0,cDC_CLEC9A,1.866755239,cDC_CLEC9A,Mye
SUSD3,4.7299999999999994e-210,1.86285505,0.407,0.094,8.709999999999999e-206,cDC_CLEC9A,1.86285505,cDC_CLEC9A,Mye
BCL6,2.1399999999999998e-135,1.838938401,0.42,0.127,3.94e-131,cDC_CLEC9A,1.838938401,cDC_CLEC9A,Mye
NLRC5,4.13e-154,1.800543401,0.409,0.115,7.6e-150,cDC_CLEC9A,1.800543401,cDC_CLEC9A,Mye
ICAM3,0,1.798797053,0.708,0.187,0,cDC_CLEC9A,1.798797053,cDC_CLEC9A,Mye
PPA1,4.0799999999999994e-193,1.791585045,0.824,0.454,7.51e-189,cDC_CLEC9A,1.791585045,cDC_CLEC9A,Mye
CYP2S1,5.439999999999999e-169,1.787770016,0.432,0.119,1e-164,cDC_CLEC9A,1.787770016,cDC_CLEC9A,Mye
PNMA1,0,1.774538922,0.39,0.054,0,cDC_CLEC9A,1.774538922,cDC_CLEC9A,Mye
SRP19,2.9599999999999994e-96,1.755114195,0.439,0.177,5.45e-92,cDC_CLEC9A,1.755114195,cDC_CLEC9A,Mye
C1QBP,7.89e-149,1.740408447,0.76,0.423,1.4499999999999998e-144,cDC_CLEC9A,1.740408447,cDC_CLEC9A,Mye
CCDC126,0,1.740025686,0.493,0.05,0,cDC_CLEC9A,1.740025686,cDC_CLEC9A,Mye
APOL3,2.21e-113,1.738207343,0.48,0.176,4.0799999999999997e-109,cDC_CLEC9A,1.738207343,cDC_CLEC9A,Mye
MPEG1,1.23e-126,1.732727687,0.728,0.367,2.27e-122,cDC_CLEC9A,1.732727687,cDC_CLEC9A,Mye
C1orf21,0,1.727198517,0.53,0.051,0,cDC_CLEC9A,1.727198517,cDC_CLEC9A,Mye
