p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,classification tier,avg_strength
0,1.135107562,0.638,0.04,0,Endothelial ACKR1,CYYR1,subset,1.135107562
0,1.13266444,0.598,0.057,0,Endothelial ACKR1,RBP7,subset,1.13266444
0,1.128433954,0.336,0.074,0,Endothelial ACKR1,EDN1,subset,1.128433954
0,1.117694725,0.546,0.006,0,Endothelial ACKR1,CCL14,subset,1.117694725
0,1.109961489,0.388,0.029,0,Endothelial ACKR1,IL6,subset,1.109961489
0,1.106428853,0.525,0.035,0,Endothelial ACKR1,LIFR,subset,1.106428853
0,1.08901729,0.634,0.115,0,Endothelial ACKR1,ITGA6,subset,1.08901729
0,1.069757075,0.766,0.247,0,Endothelial ACKR1,ADIRF,subset,1.069757075
0,1.068079635,0.626,0.161,0,Endothelial ACKR1,MGLL,subset,1.068079635
0,1.064938198,0.415,0.013,0,Endothelial ACKR1,ADM5,subset,1.064938198
0,1.062801007,0.688,0.224,0,Endothelial ACKR1,ADAM15,subset,1.062801007
0,1.059523656,0.565,0.045,0,Endothelial ACKR1,NRN1,subset,1.059523656
0,1.05407625,0.442,0.015,0,Endothelial ACKR1,SLCO2A1,subset,1.05407625
0,1.050812838,0.583,0.024,0,Endothelial ACKR1,MMRN2,subset,1.050812838
0,1.041047222,0.574,0.061,0,Endothelial ACKR1,MALL,subset,1.041047222
0,1.040745926,0.601,0.038,0,Endothelial ACKR1,JAM2,subset,1.040745926
0,1.027125117,0.557,0.073,0,Endothelial ACKR1,THBD,subset,1.027125117
0,1.026914494,0.771,0.182,0,Endothelial ACKR1,CAV1,subset,1.026914494
0,1.024261927,0.502,0.025,0,Endothelial ACKR1,FAM167B,subset,1.024261927
0,1.020586176,0.987,0.677,0,Endothelial ACKR1,CD74,subset,1.020586176
0,1.00702906,0.468,0.055,0,Endothelial ACKR1,TGM2,subset,1.00702906
0,1.006489668,0.56,0.023,0,Endothelial ACKR1,PTPRB,subset,1.006489668
0,1.002324883,0.482,0.003,0,Endothelial ACKR1,SELP,subset,1.002324883
0,1.000109687,0.637,0.187,0,Endothelial ACKR1,ICAM1,subset,1.000109687
0,0.996285144,0.601,0.092,0,Endothelial ACKR1,TFPI,subset,0.996285144
0,0.996261045,0.534,0.034,0,Endothelial ACKR1,CFI,subset,0.996261045
0,0.994131543,0.967,0.698,0,Endothelial ACKR1,VIM,subset,0.994131543
0,0.991365936,0.676,0.27,0,Endothelial ACKR1,FABP5,subset,0.991365936
0,0.986397005,0.354,0.016,0,Endothelial ACKR1,ECSCR.1,subset,0.986397005
0,0.985333208,0.487,0.08,0,Endothelial ACKR1,VWA1,subset,0.985333208
0,0.979556768,0.729,0.289,0,Endothelial ACKR1,YBX3,subset,0.979556768
0,0.974070498,0.304,0.041,0,Endothelial ACKR1,STC1,subset,0.974070498
0,0.974009018,0.653,0.191,0,Endothelial ACKR1,SH3BP5,subset,0.974009018
0,0.97339649,0.504,0.036,0,Endothelial ACKR1,OLFM1,subset,0.97339649
0,0.970669827,0.534,0.027,0,Endothelial ACKR1,ADCY4,subset,0.970669827
0,0.96589311,0.675,0.178,0,Endothelial ACKR1,ARHGAP29,subset,0.96589311
0,0.963796574,0.628,0.161,0,Endothelial ACKR1,NEDD9,subset,0.963796574
0,0.961212082,0.597,0.097,0,Endothelial ACKR1,NRP1,subset,0.961212082
0,0.959997721,0.588,0.152,0,Endothelial ACKR1,BACE2,subset,0.959997721
0,0.958101773,0.696,0.204,0,Endothelial ACKR1,SPTBN1,subset,0.958101773
0,0.951743761,0.701,0.275,0,Endothelial ACKR1,KLF4,subset,0.951743761
0,0.95047992,0.768,0.345,0,Endothelial ACKR1,RAB13,subset,0.95047992
0,0.947443588,0.52,0.065,0,Endothelial ACKR1,HEG1,subset,0.947443588
0,0.946286844,0.426,0.014,0,Endothelial ACKR1,APLNR,subset,0.946286844
0,0.946255493,0.591,0.049,0,Endothelial ACKR1,S1PR1,subset,0.946255493
0,0.945831759,0.493,0.049,0,Endothelial ACKR1,APOLD1,subset,0.945831759
0,0.937995147,0.774,0.267,0,Endothelial ACKR1,VAMP5,subset,0.937995147
0,0.937690979,0.575,0.106,0,Endothelial ACKR1,COL4A2,subset,0.937690979
0,0.936520873,0.606,0.163,0,Endothelial ACKR1,NDRG1,subset,0.936520873
0,0.928135293,0.546,0.048,0,Endothelial ACKR1,LDB2,subset,0.928135293
0,0.923735151,0.555,0.116,0,Endothelial ACKR1,CTGF,subset,0.923735151
0,0.919252402,0.914,0.601,0,Endothelial ACKR1,IFITM2,subset,0.919252402
0,0.91868521,0.659,0.208,0,Endothelial ACKR1,MGST2,subset,0.91868521
0,0.915000067,0.578,0.094,0,Endothelial ACKR1,ELK3,subset,0.915000067
0,0.912274988,0.799,0.513,0,Endothelial ACKR1,IFITM1,subset,0.912274988
0,0.902995931,0.656,0.154,0,Endothelial ACKR1,GIMAP7,subset,0.902995931
0,0.901988294,0.453,0.083,0,Endothelial ACKR1,SCARB1,subset,0.901988294
0,0.901834395,0.531,0.034,0,Endothelial ACKR1,FLT1,subset,0.901834395
0,0.899896979,0.499,0.027,0,Endothelial ACKR1,IL3RA,subset,0.899896979
0,0.899640839,0.749,0.428,0,Endothelial ACKR1,CDKN1A,subset,0.899640839
0,0.896101529,0.583,0.187,0,Endothelial ACKR1,NCOA7,subset,0.896101529
0,0.895476786,0.686,0.274,0,Endothelial ACKR1,ARL4A,subset,0.895476786
0,0.883865918,0.876,0.583,0,Endothelial ACKR1,SEPW1,subset,0.883865918
0,0.883275629,0.524,0.048,0,Endothelial ACKR1,LIMS2,subset,0.883275629
0,0.881521808,0.49,0.084,0,Endothelial ACKR1,COL4A1,subset,0.881521808
0,0.878594624,0.778,0.357,0,Endothelial ACKR1,GSN,subset,0.878594624
0,0.877828736,0.931,0.725,0,Endothelial ACKR1,ITM2B,subset,0.877828736
0,0.869835232,0.655,0.202,0,Endothelial ACKR1,CDC42EP3,subset,0.869835232
0,0.869244246,0.931,0.745,0,Endothelial ACKR1,HLA-E,subset,0.869244246
0,0.866938117,0.486,0.047,0,Endothelial ACKR1,TNFRSF10D,subset,0.866938117
0,0.859832052,0.534,0.075,0,Endothelial ACKR1,SOCS2,subset,0.859832052
0,0.859458777,0.541,0.125,0,Endothelial ACKR1,MTUS1,subset,0.859458777
0,0.858790255,0.771,0.309,0,Endothelial ACKR1,FCGRT,subset,0.858790255
0,0.858444553,0.536,0.129,0,Endothelial ACKR1,WWTR1,subset,0.858444553
0,0.857483091,0.511,0.023,0,Endothelial ACKR1,CDH5,subset,0.857483091
0,0.852150624,0.533,0.126,0,Endothelial ACKR1,CSRP2,subset,0.852150624
0,0.851548321,0.685,0.271,0,Endothelial ACKR1,ACTN1,subset,0.851548321
0,0.851337788,0.547,0.114,0,Endothelial ACKR1,LPAR6,subset,0.851337788
0,0.844818629,0.92,0.405,0,Endothelial ACKR1,HLA-DRB1,subset,0.844818629
0,0.844628566,0.376,0.02,0,Endothelial ACKR1,SOX17,subset,0.844628566
0,0.844352645,0.889,0.208,0,Endothelial ACKR1,SPARC,subset,0.844352645
0,0.843074131,0.764,0.4,0,Endothelial ACKR1,RAB11A,subset,0.843074131
0,0.842184204,0.703,0.27,0,Endothelial ACKR1,PLSCR1,subset,0.842184204
0,0.834068972,0.473,0.029,0,Endothelial ACKR1,TMEM255B,subset,0.834068972
0,0.831613334,0.56,0.18,0,Endothelial ACKR1,CD320,subset,0.831613334
0,0.830648492,0.724,0.271,0,Endothelial ACKR1,CNN3,subset,0.830648492
0,0.830450649,0.78,0.359,0,Endothelial ACKR1,APP,subset,0.830450649
0,0.828239315,0.417,0.039,0,Endothelial ACKR1,CNKSR3,subset,0.828239315
0,0.827519257,0.509,0.06,0,Endothelial ACKR1,TGFBR3,subset,0.827519257
0,0.819826883,0.496,0.058,0,Endothelial ACKR1,NOSTRIN,subset,0.819826883
0,0.808901681,0.488,0.018,0,Endothelial ACKR1,ERG,subset,0.808901681
0,0.807207628,0.725,0.294,0,Endothelial ACKR1,STOM,subset,0.807207628
0,0.803943786,0.508,0.109,0,Endothelial ACKR1,PKP4,subset,0.803943786
0,0.794244881,0.474,0.06,0,Endothelial ACKR1,RALGAPA2,subset,0.794244881
0,0.791708512,0.662,0.28,0,Endothelial ACKR1,TNFRSF1A,subset,0.791708512
0,0.788530848,0.768,0.416,0,Endothelial ACKR1,CCDC85B,subset,0.788530848
0,0.784468449,0.668,0.179,0,Endothelial ACKR1,PRSS23,subset,0.784468449
0,0.782831465,0.583,0.115,0,Endothelial ACKR1,TINAGL1,subset,0.782831465
0,0.779928212,0.605,0.183,0,Endothelial ACKR1,TSPAN4,subset,0.779928212
0,0.777897241,0.664,0.263,0,Endothelial ACKR1,PVRL2,subset,0.777897241
0,0.772188251,0.541,0.099,0,Endothelial ACKR1,TSHZ2,subset,0.772188251
0,0.761856426,0.339,0.045,0,Endothelial ACKR1,ANGPT2,subset,0.761856426
0,0.759568392,0.615,0.195,0,Endothelial ACKR1,NFIB,subset,0.759568392
0,0.75889339,0.725,0.216,0,Endothelial ACKR1,ITM2A,subset,0.75889339
0,0.758842843,0.421,0.03,0,Endothelial ACKR1,NUAK1,subset,0.758842843
0,0.75838776,0.802,0.475,0,Endothelial ACKR1,CDC37,subset,0.75838776
0,0.756069787,0.639,0.239,0,Endothelial ACKR1,RCN1,subset,0.756069787
0,0.755884542,0.531,0.137,0,Endothelial ACKR1,SLC29A1,subset,0.755884542
0,0.755758027,0.409,0.025,0,Endothelial ACKR1,RHOJ,subset,0.755758027
0,0.751937605,0.554,0.153,0,Endothelial ACKR1,SHC1,subset,0.751937605
0,0.750499243,0.455,0.048,0,Endothelial ACKR1,FZD4,subset,0.750499243
0,0.746953463,0.531,0.12,0,Endothelial ACKR1,CMIP,subset,0.746953463
0,0.744424737,0.466,0.08,0,Endothelial ACKR1,EVA1C,subset,0.744424737
0,0.737763572,0.455,0.091,0,Endothelial ACKR1,SMAD1,subset,0.737763572
0,0.73531717,0.503,0.089,0,Endothelial ACKR1,GJA1,subset,0.73531717
0,0.73440169,0.311,0.011,0,Endothelial ACKR1,C7,subset,0.73440169
0,0.731610177,0.416,0.02,0,Endothelial ACKR1,CPXM2,subset,0.731610177
0,0.731490337,0.457,0.099,0,Endothelial ACKR1,HAPLN3,subset,0.731490337
0,0.730564779,0.434,0.017,0,Endothelial ACKR1,MYCT1,subset,0.730564779
0,0.730350923,0.556,0.161,0,Endothelial ACKR1,SWAP70,subset,0.730350923
0,0.730323159,0.426,0.02,0,Endothelial ACKR1,TIE1,subset,0.730323159
0,0.729182028,0.432,0.051,0,Endothelial ACKR1,IL1R1,subset,0.729182028
0,0.728753776,0.407,0.046,0,Endothelial ACKR1,TM4SF18,subset,0.728753776
0,0.727401165,0.888,0.656,0,Endothelial ACKR1,GUK1,subset,0.727401165
0,0.726557898,0.514,0.104,0,Endothelial ACKR1,KCTD12,subset,0.726557898
0,0.721043369,0.402,0.035,0,Endothelial ACKR1,RASA4,subset,0.721043369
0,0.717518725,0.458,0.07,0,Endothelial ACKR1,DLC1,subset,0.717518725
0,0.716922207,0.8,0.342,0,Endothelial ACKR1,SLC2A3,subset,0.716922207
0,0.714518924,0.318,0.013,0,Endothelial ACKR1,PCDH17,subset,0.714518924
0,0.711548663,0.443,0.071,0,Endothelial ACKR1,RAI14,subset,0.711548663
0,0.701075527,0.695,0.263,0,Endothelial ACKR1,SERPINH1,subset,0.701075527
0,0.698239626,0.364,0.014,0,Endothelial ACKR1,PCAT19,subset,0.698239626
0,0.69118707,0.702,0.368,0,Endothelial ACKR1,FLOT1,subset,0.69118707
0,0.688560257,0.459,0.076,0,Endothelial ACKR1,ITGA5,subset,0.688560257
0,0.688306274,0.445,0.103,0,Endothelial ACKR1,MKL2,subset,0.688306274
0,0.685843939,0.536,0.159,0,Endothelial ACKR1,ECE1,subset,0.685843939
0,0.682825391,0.467,0.091,0,Endothelial ACKR1,LPCAT4,subset,0.682825391
0,0.682759293,0.368,0.017,0,Endothelial ACKR1,FAM107A,subset,0.682759293
0,0.682125998,0.455,0.079,0,Endothelial ACKR1,TCN2,subset,0.682125998
0,0.681867289,0.471,0.084,0,Endothelial ACKR1,INPP1,subset,0.681867289
0,0.681407124,0.814,0.489,0,Endothelial ACKR1,NPC2,subset,0.681407124
0,0.67590199,0.762,0.415,0,Endothelial ACKR1,MYH9,subset,0.67590199
0,0.675808335,0.363,0.007,0,Endothelial ACKR1,TLL1,subset,0.675808335
0,0.675033091,0.465,0.137,0,Endothelial ACKR1,PIK3R3,subset,0.675033091
0,0.674849235,0.255,0.056,0,Endothelial ACKR1,SERPINE1,subset,0.674849235
0,0.673973281,0.54,0.205,0,Endothelial ACKR1,UGCG,subset,0.673973281
0,0.673314111,0.658,0.309,0,Endothelial ACKR1,LEPROT,subset,0.673314111
0,0.671394949,0.587,0.2,0,Endothelial ACKR1,PPIC,subset,0.671394949
0,0.66737529,0.367,0.007,0,Endothelial ACKR1,MEOX1,subset,0.66737529
0,0.6660925,0.523,0.174,0,Endothelial ACKR1,EHD4,subset,0.6660925
0,0.665140938,0.402,0.017,0,Endothelial ACKR1,PREX2,subset,0.665140938
0,0.661230217,0.407,0.015,0,Endothelial ACKR1,ROBO4,subset,0.661230217
0,0.660405149,0.531,0.113,0,Endothelial ACKR1,ICAM2,subset,0.660405149
0,0.657764402,0.506,0.134,0,Endothelial ACKR1,FSCN1,subset,0.657764402
0,0.654059222,0.454,0.115,0,Endothelial ACKR1,BMPR2,subset,0.654059222
0,0.653499749,0.453,0.106,0,Endothelial ACKR1,ABCD4,subset,0.653499749
0,0.653485108,0.371,0.023,0,Endothelial ACKR1,SPNS2,subset,0.653485108
0,0.650142966,0.334,0.048,0,Endothelial ACKR1,ENPP2,subset,0.650142966
0,0.650082347,0.53,0.124,0,Endothelial ACKR1,CAV2,subset,0.650082347
0,0.646893441,0.272,0.008,0,Endothelial ACKR1,CYTL1,subset,0.646893441
0,0.643904567,0.571,0.203,0,Endothelial ACKR1,TACC1,subset,0.643904567
0,0.643049201,0.388,0.017,0,Endothelial ACKR1,THSD7A,subset,0.643049201
0,0.638611246,0.352,0.059,0,Endothelial ACKR1,CLDN15,subset,0.638611246
0,0.638149925,0.379,0.021,0,Endothelial ACKR1,KANK3,subset,0.638149925
0,0.636970124,0.354,0.027,0,Endothelial ACKR1,TMEM88,subset,0.636970124
0,0.634757149,0.666,0.347,0,Endothelial ACKR1,NUCB1,subset,0.634757149
0,0.632371558,0.39,0.07,0,Endothelial ACKR1,LAMA5,subset,0.632371558
0,0.631385847,0.699,0.251,0,Endothelial ACKR1,HLA-DMA,subset,0.631385847
0,0.624363858,0.671,0.374,0,Endothelial ACKR1,ATP1A1,subset,0.624363858
0,0.624179075,0.391,0.035,0,Endothelial ACKR1,C10orf128,subset,0.624179075
0,0.621278634,0.4,0.049,0,Endothelial ACKR1,CLIC2,subset,0.621278634
0,0.619665417,0.423,0.095,0,Endothelial ACKR1,PLXND1,subset,0.619665417
0,0.618752436,0.356,0.063,0,Endothelial ACKR1,FBLN2,subset,0.618752436
0,0.612265198,0.656,0.307,0,Endothelial ACKR1,IL6ST,subset,0.612265198
0,0.611921037,0.787,0.466,0,Endothelial ACKR1,SDCBP,subset,0.611921037
0,0.61188834,0.468,0.139,0,Endothelial ACKR1,NR2F2,subset,0.61188834
0,0.610459412,0.407,0.107,0,Endothelial ACKR1,FAM198B,subset,0.610459412
0,0.609901448,0.743,0.397,0,Endothelial ACKR1,CD151,subset,0.609901448
0,0.608601205,0.365,0.018,0,Endothelial ACKR1,RAPGEF3,subset,0.608601205
0,0.605927294,0.338,0.019,0,Endothelial ACKR1,MEOX2,subset,0.605927294
0,0.605203939,0.392,0.044,0,Endothelial ACKR1,ANKRD29,subset,0.605203939
0,0.603195875,0.446,0.121,0,Endothelial ACKR1,C4orf32,subset,0.603195875
0,0.602630424,0.516,0.15,0,Endothelial ACKR1,RBPMS,subset,0.602630424
0,0.602315901,0.282,0.049,0,Endothelial ACKR1,VCAM1,subset,0.602315901
0,0.600332626,0.474,0.095,0,Endothelial ACKR1,EHD2,subset,0.600332626
0,0.597007476,0.349,0.009,0,Endothelial ACKR1,DOC2B,subset,0.597007476
0,0.59696106,0.48,0.145,0,Endothelial ACKR1,ASAP1,subset,0.59696106
0,0.595678811,0.537,0.145,0,Endothelial ACKR1,PRKCDBP,subset,0.595678811
0,0.595474814,0.375,0.07,0,Endothelial ACKR1,ITGB4,subset,0.595474814
0,0.594297676,0.687,0.352,0,Endothelial ACKR1,CYB5R3,subset,0.594297676
0,0.592725772,0.397,0.074,0,Endothelial ACKR1,KLF7,subset,0.592725772
0,0.590578044,0.376,0.091,0,Endothelial ACKR1,C1orf54,subset,0.590578044
0,0.587179426,0.421,0.16,0,Endothelial ACKR1,RGS16,subset,0.587179426
0,0.587075427,0.392,0.041,0,Endothelial ACKR1,ACVRL1,subset,0.587075427
0,0.585194436,0.582,0.258,0,Endothelial ACKR1,PDLIM5,subset,0.585194436
0,0.584681842,0.421,0.127,0,Endothelial ACKR1,DUSP6,subset,0.584681842
0,0.583186513,0.532,0.203,0,Endothelial ACKR1,CCDC50,subset,0.583186513
0,0.581781942,0.424,0.11,0,Endothelial ACKR1,TRIOBP,subset,0.581781942
0,0.581455999,0.331,0.028,0,Endothelial ACKR1,GPR146,subset,0.581455999
0,0.579889559,0.384,0.119,0,Endothelial ACKR1,MYO1E,subset,0.579889559
0,0.576643371,0.346,0.088,0,Endothelial ACKR1,RND1,subset,0.576643371
0,0.576233644,0.345,0.012,0,Endothelial ACKR1,ARHGEF15,subset,0.576233644
0,0.574898265,0.574,0.284,0,Endothelial ACKR1,CEBPD,subset,0.574898265
0,0.574481192,0.788,0.526,0,Endothelial ACKR1,TXNIP,subset,0.574481192
0,0.57169306,0.399,0.09,0,Endothelial ACKR1,CTNNAL1,subset,0.57169306
0,0.57067615,0.375,0.122,0,Endothelial ACKR1,ABL2,subset,0.57067615
0,0.570530647,0.69,0.239,0,Endothelial ACKR1,S100A16,subset,0.570530647
0,0.569186602,0.387,0.081,0,Endothelial ACKR1,NRP2,subset,0.569186602
0,0.567104533,0.359,0.033,0,Endothelial ACKR1,PLEKHG1,subset,0.567104533
0,0.567039602,0.536,0.139,0,Endothelial ACKR1,MEF2C,subset,0.567039602
0,0.566406519,0.624,0.307,0,Endothelial ACKR1,GNAI2,subset,0.566406519
0,0.562089764,0.908,0.658,0,Endothelial ACKR1,S100A10,subset,0.562089764
0,0.561777724,0.463,0.124,0,Endothelial ACKR1,TUBB6,subset,0.561777724
0,0.55941993,0.412,0.094,0,Endothelial ACKR1,PXN,subset,0.55941993
0,0.558194375,0.898,0.386,0,Endothelial ACKR1,HLA-DRA,subset,0.558194375
0,0.557359126,0.344,0.04,0,Endothelial ACKR1,RASIP1,subset,0.557359126
0,0.556004264,0.583,0.246,0,Endothelial ACKR1,CTSH,subset,0.556004264
0,0.555737832,0.383,0.088,0,Endothelial ACKR1,SEPN1,subset,0.555737832
0,0.555170162,0.433,0.16,0,Endothelial ACKR1,YPEL2,subset,0.555170162
0,0.554072906,0.532,0.187,0,Endothelial ACKR1,PMP22,subset,0.554072906
0,0.551110602,0.456,0.149,0,Endothelial ACKR1,TJP1,subset,0.551110602
0,0.550339259,0.297,0.007,0,Endothelial ACKR1,LHX6,subset,0.550339259
0,0.549123397,0.412,0.085,0,Endothelial ACKR1,SULF2,subset,0.549123397
0,0.548673444,0.912,0.47,0,Endothelial ACKR1,CST3,subset,0.548673444
0,0.545920175,0.502,0.154,0,Endothelial ACKR1,ABLIM1,subset,0.545920175
0,0.545834405,0.459,0.167,0,Endothelial ACKR1,UPP1,subset,0.545834405
0,0.545376942,0.388,0.084,0,Endothelial ACKR1,SASH1,subset,0.545376942
0,0.54320649,0.385,0.102,0,Endothelial ACKR1,CRIM1,subset,0.54320649
0,0.541292312,0.353,0.042,0,Endothelial ACKR1,PTPRM,subset,0.541292312
0,0.540889628,0.375,0.061,0,Endothelial ACKR1,TNS2,subset,0.540889628
0,0.540104445,0.708,0.408,0,Endothelial ACKR1,XIST,subset,0.540104445
0,0.538898815,0.343,0.038,0,Endothelial ACKR1,MET,subset,0.538898815
0,0.53873798,0.354,0.052,0,Endothelial ACKR1,IPO11,subset,0.53873798
0,0.538307164,0.385,0.083,0,Endothelial ACKR1,SNTB2,subset,0.538307164
0,0.538193871,0.395,0.099,0,Endothelial ACKR1,ENTPD1,subset,0.538193871
0,0.537746625,0.445,0.149,0,Endothelial ACKR1,GNAQ,subset,0.537746625
0,0.536684688,0.438,0.102,0,Endothelial ACKR1,VCAN,subset,0.536684688
0,0.53652446,0.501,0.202,0,Endothelial ACKR1,PNP,subset,0.53652446
0,0.536390956,0.491,0.201,0,Endothelial ACKR1,FEZ2,subset,0.536390956
0,0.536091346,0.595,0.292,0,Endothelial ACKR1,MYC,subset,0.536091346
0,0.535377146,0.861,0.573,0,Endothelial ACKR1,LMNA,subset,0.535377146
0,0.53410283,0.533,0.239,0,Endothelial ACKR1,KLF2,subset,0.53410283
0,0.532778609,0.43,0.149,0,Endothelial ACKR1,MAP3K11,subset,0.532778609
0,0.530563797,0.242,0.017,0,Endothelial ACKR1,SOX18,subset,0.530563797
0,0.53042091,0.308,0.028,0,Endothelial ACKR1,MATN2,subset,0.53042091
0,0.529607967,0.282,0.002,0,Endothelial ACKR1,RAB3C,subset,0.529607967
0,0.529200425,0.342,0.044,0,Endothelial ACKR1,FRY,subset,0.529200425
0,0.528914952,0.509,0.214,0,Endothelial ACKR1,SEC14L1,subset,0.528914952
0,0.527884903,0.807,0.483,0,Endothelial ACKR1,BST2,subset,0.527884903
0,0.526573789,0.486,0.209,0,Endothelial ACKR1,FAM213A,subset,0.526573789
0,0.526533654,0.699,0.33,0,Endothelial ACKR1,IFI16,subset,0.526533654
0,0.524872688,0.61,0.305,0,Endothelial ACKR1,LAP3,subset,0.524872688
0,0.52333144,0.615,0.351,0,Endothelial ACKR1,PIM3,subset,0.52333144
